id,sentence,script_type,char_pinyin_pairs,english_translation,sentence_hsk_level
11085,我忘记他叫什么名字了。,simplified,我:wo3|忘:wang4|记:ji4|他:ta1|叫:jiao4|什:shen2|么:me|名:ming2|字:zi4|了:le|。:,I forgot what his name is.,1
11086,他酷爱足球。,simplified,他:ta1|酷:ku4|爱:ai4|足:zu2|球:qiu2|。:,He is passionate about soccer.,6
11087,所有悲剧都由死亡终结。,simplified,所:suo3|有:you3|悲:bei1|剧:ju4|都:dou1|由:you2|死:si3|亡:wang2|终:zhong1|结:jie2|。:,All tragedies end in death.,6
11088,他学了英国历史。,simplified,他:ta1|学:xue2|了:le|英:ying1|国:guo2|历:li4|史:shi3|。:,He studied British history.,4
11089,我直接到他那里去。,neutral,我:wo3|直:zhi2|接:jie1|到:dao4|他:ta1|那:na4|里:li3|去:qu4|。:,I went straight to him.,2
11090,我的叔叔爱好打板球。,simplified,我:wo3|的:de|叔:shu1|叔:shu1|爱:ai4|好:hao4|打:da3|板:ban3|球:qiu2|。:,My uncle enjoys playing cricket.,4
11091,我的舅舅爱好打板球。,simplified,我:wo3|的:de|舅:jiu4|舅:jiu4|爱:ai4|好:hao4|打:da3|板:ban3|球:qiu2|。:,My uncle enjoys playing cricket.,7-9
11092,我的伯伯爱好打板球。,simplified,我:wo3|的:de|伯:bo2|伯:bo|爱:ai4|好:hao4|打:da3|板:ban3|球:qiu2|。:,My uncle enjoys playing cricket.,7-9
11093,没事的，别害怕！,neutral,没:mei2|事:shi4|的:de|，:|别:bie2|害:hai4|怕:pa4|！:,"It's okay, don't be afraid!",3
11094,我试着用法语提问。,simplified,我:wo3|试:shi4|着:zhe|用:yong4|法:fa3|语:yu3|提:ti2|问:wen4|。:,I tried to ask a question in French.,2
11095,因为我家没有洗衣机，我必须去洗衣房洗衣服。,simplified,因:yin1|为:wei4|我:wo3|家:jia1|没:mei2|有:you3|洗:xi3|衣:yi1|机:ji1|，:|我:wo3|必:bi4|须:xu1|去:qu4|洗:xi3|衣:yi1|房:fang2|洗:xi3|衣:yi1|服:fu2|。:,"Since my family doesn't have a washing machine, I have to go to the laundromat to do laundry.",2
11096,我想试试这个。,simplified,我:wo3|想:xiang3|试:shi4|试:shi4|这:zhe4|个:ge|。:,I want to give this a try.,1
11097,这些植物太小了，我觉得它们长不大。,simplified,这:zhe4|些:xie1|植:zhi2|物:wu4|太:tai4|小:xiao3|了:le|，:|我:wo3|觉:jue2|得:de|它:ta1|们:men|长:zhang3|不:bu4|大:da4|。:,These plants are too small; I don't think they'll grow big.,4
11098,你回来了吗？,simplified,你:ni3|回:hui2|来:lai2|了:le|吗:ma|？:,Are you back?,1
11099,您回来了吗？,simplified,您:nin2|回:hui2|来:lai2|了:le|吗:ma|？:,Have you returned?,1
11100,你们回来了吗？,simplified,你:ni3|们:men|回:hui2|来:lai2|了:le|吗:ma|？:,Have you all come back?,1
11101,那不是蟋蟀。是蚂蚱！,simplified,那:na4|不:bu2|是:shi4|蟋:xi1|蟀:shuai4|。:|是:shi4|蚂:ma4|蚱:zha4|！:,That's not a cricket. It's a grasshopper!,beyond-hsk
11102,妳回來了嗎？,traditional,妳:ni3|回:hui2|來:lai2|了:le|嗎:ma|？:,Are you back?,beyond-hsk
11103,住手！,neutral,住:zhu4|手:shou3|！:,Stop it!,1
11104,我们有一只猫。我们都喜欢这只猫。,simplified,我:wo3|们:men|有:you3|一:yi1|只:zhi1|猫:mao1|。:|我:wo3|们:men|都:dou1|喜:xi3|欢:huan1|这:zhe4|只:zhi3|猫:mao1|。:,We have a cat. We all like this cat.,2
11105,在中国有一种说法：人不可貌相。,simplified,在:zai4|中:zhong1|国:guo2|有:you3|一:yi1|种:zhong3|说:shuo1|法:fa3|：:|人:ren2|不:bu4|可:ke3|貌:mao4|相:xiang1|。:,There's a saying in China: Don't judge a person by their appearance.,5
11106,我该怎么办？,simplified,我:wo3|该:gai1|怎:zen3|么:me|办:ban4|？:,What should I do?,2
11107,这里离银行远吗？,simplified,这:zhe4|里:li3|离:li2|银:yin2|行:hang2|远:yuan3|吗:ma|？:,Is it far from here to the bank?,2
11108,我想請你帮我整理花園。,traditional,我:wo3|想:xiang3|請:qing3|你:ni3|帮:bang1|我:wo3|整:zheng3|理:li3|花:hua1|園:yuan2|。:,I would like to ask you to help me tidy the garden.,3
11109,现在几点钟？,simplified,现:xian4|在:zai4|几:ji3|点:dian3|钟:zhong1|？:,What time is it now?,2
11110,谁要热巧克力？,simplified,谁:shei2|要:yao4|热:re4|巧:qiao3|克:ke4|力:li4|？:,Who wants hot chocolate?,3
11111,今天天气很热。,neutral,今:jin1|天:tian1|天:tian1|气:qi4|很:hen3|热:re4|。:,It's very hot today.,1
11112,今天天气挺冷的。,neutral,今:jin1|天:tian1|天:tian1|气:qi4|挺:ting3|冷:leng3|的:de|。:,It's quite cold today.,2
11113,有人吗？,simplified,有:you3|人:ren2|吗:ma|？:,Is anyone there?,1
11114,严禁卖淫嫖娼，赌博，吸毒，酗酒滋事等违法犯罪活动！,simplified,严:yan2|禁:jin4|卖:mai4|淫:yin2|嫖:piao2|娼:chang1|，:|赌:du3|博:bo2|，:|吸:xi1|毒:du2|，:|酗:xu4|酒:jiu3|滋:zi1|事:shi4|等:deng3|违:wei2|法:fa3|犯:fan4|罪:zui4|活:huo2|动:dong4|！:,"Prostitution, gambling, drug use, and alcohol-related disturbances are strictly prohibited!",beyond-hsk
11115,这是给你的。,simplified,这:zhe4|是:shi4|给:gei3|你:ni3|的:de|。:,This is for you.,1
11116,我烧得很厉害。,simplified,我:wo3|烧:shao1|得:de2|很:hen3|厉:li4|害:hai4|。:,I have a high fever.,5
11117,他刚到。,simplified,他:ta1|刚:gang1|到:dao4|。:,He just arrived.,2
11118,他触犯了法律。,simplified,他:ta1|触:chu4|犯:fan4|了:le|法:fa3|律:lv4|。:,He broke the law.,6
11119,不是那么远。,neutral,不:bu2|是:shi4|那:na4|么:me|远:yuan3|。:,It's not that far.,1
11120,法律将从4月1日起生效。,simplified,法:fa3|律:lv4|将:jiang1|从:cong2|4:|月:yue4|1:|日:ri4|起:qi3|生:sheng1|效:xiao4|。:,The law will take effect from April 1st.,4
11121,我已经好久没有看到她了。,simplified,我:wo3|已:yi3|经:jing1|好:hao3|久:jiu3|没:mei2|有:you3|看:kan4|到:dao4|她:ta1|了:le|。:,I haven't seen her in a long time.,2
11122,我们将要整理房间，这样妈妈就会满意了。,simplified,我:wo3|们:men|将:jiang1|要:yao4|整:zheng3|理:li3|房:fang2|间:jian1|，:|这:zhe4|样:yang4|妈:ma1|妈:ma1|就:jiu4|会:hui4|满:man3|意:yi4|了:le|。:,We are going to tidy up the room so that mom will be satisfied.,3
11123,妈妈叫我修剪草坪。,simplified,妈:ma1|妈:ma1|叫:jiao4|我:wo3|修:xiu1|剪:jian3|草:cao3|坪:ping2|。:,Mom asked me to mow the lawn.,7-9
11124,这条河流向大海。,simplified,这:zhe4|条:tiao2|河:he2|流:liu2|向:xiang4|大:da4|海:hai3|。:,This river flows into the sea.,2
11125,不要把热水倒进玻璃杯，不然杯子会裂开。,simplified,不:bu2|要:yao4|把:ba3|热:re4|水:shui3|倒:dao4|进:jin4|玻:bo1|璃:li2|杯:bei1|，:|不:bu4|然:ran2|杯:bei1|子:zi|会:hui4|裂:lie4|开:kai1|。:,"Don't pour hot water into the glass cup, or it will crack.",6
11126,多做运动，不然你会超重。,simplified,多:duo1|做:zuo4|运:yun4|动:dong4|，:|不:bu4|然:ran2|你:ni3|会:hui4|超:chao1|重:zhong4|。:,"Exercise more, or you will gain weight.",2
11127,跑得再快些，不然你就赶不上火车了。,simplified,跑:pao3|得:de2|再:zai4|快:kuai4|些:xie1|，:|不:bu4|然:ran2|你:ni3|就:jiu4|赶:gan3|不:bu4|上:shang4|火:huo3|车:che1|了:le|。:,"Run faster, or you will miss the train.",3
11128,他故意令她陷入险境。,simplified,他:ta1|故:gu4|意:yi4|令:ling4|她:ta1|陷:xian4|入:ru4|险:xian3|境:jing4|。:,He deliberately put her in danger.,6
11129,我是不会向那些人借钱的。,simplified,我:wo3|是:shi4|不:bu2|会:hui4|向:xiang4|那:na4|些:xie1|人:ren2|借:jie4|钱:qian2|的:de|。:,I will not borrow money from those people.,2
11130,我们花了很长时间找停车场。,simplified,我:wo3|们:men|花:hua1|了:le|很:hen3|长:chang2|时:shi2|间:jian1|找:zhao3|停:ting2|车:che1|场:chang3|。:,We spent a long time looking for a parking lot.,2
11131,過了六個月，他的腿便治好，回復正常了。,traditional,過:guo4|了:le|六:liu4|個:ge4|月:yue4|，:|他:ta1|的:de|腿:tui3|便:bian4|治:zhi4|好:hao3|，:|回:hui2|復:fu4|正:zheng4|常:chang2|了:le|。:,"After six months, his leg healed and returned to normal.",4
11132,你和我其中一個要出席這次的會議。,traditional,你:ni3|和:he2|我:wo3|其:qi2|中:zhong1|一:yi1|個:ge4|要:yao4|出:chu1|席:xi2|這:zhe4|次:ci4|的:de|會:hui4|議:yi4|。:,One of us needs to attend this meeting.,4
11133,這是一件十分重要的事。,traditional,這:zhe4|是:shi4|一:yi1|件:jian4|十:shi2|分:fen1|重:zhong4|要:yao4|的:de|事:shi4|。:,This is a very important matter.,2
11134,他找到的箱子是空的。,neutral,他:ta1|找:zhao3|到:dao4|的:de|箱:xiang1|子:zi|是:shi4|空:kong1|的:de|。:,The box he found was empty.,3
11135,有些情況之下，這條規則不能成立。,traditional,有:you3|些:xie1|情:qing2|況:kuang4|之:zhi1|下:xia4|，:|這:zhe4|條:tiao2|規:gui1|則:ze2|不:bu4|能:neng2|成:cheng2|立:li4|。:,"In some situations, this rule cannot apply.",4
11136,我有一個朋友，他的父親是位名鋼琴家。,traditional,我:wo3|有:you3|一:yi1|個:ge4|朋:peng2|友:you3|，:|他:ta1|的:de|父:fu4|親:qin1|是:shi4|位:wei4|名:ming2|鋼:gang1|琴:qin2|家:jia1|。:,I have a friend whose father is a famous pianist.,5
11137,你的文章寫得很好，但卻有很多字拼錯了。,traditional,你:ni3|的:de|文:wen2|章:zhang1|寫:xie3|得:de2|很:hen3|好:hao3|，:|但:dan4|卻:que4|有:you3|很:hen3|多:duo1|字:zi4|拼:pin1|錯:cuo4|了:le|。:,"Your article is well written, but there are many misspelled words.",5
11138,我們明天不用上學。,traditional,我:wo3|們:men|明:ming2|天:tian1|不:bu4|用:yong4|上:shang4|學:xue2|。:,We don't have to go to school tomorrow.,1
11139,你乘公車去的話，可以省掉三分之二的時間。,traditional,你:ni3|乘:cheng2|公:gong1|車:che1|去:qu4|的:de|話:hua4|，:|可:ke3|以:yi3|省:sheng3|掉:diao4|三:san1|分:fen1|之:zhi1|二:er4|的:de|時:shi2|間:jian1|。:,"If you take the bus, you can save two-thirds of the time.",5
11140,我想去饭店吃晚饭。,simplified,我:wo3|想:xiang3|去:qu4|饭:fan4|店:dian4|吃:chi1|晚:wan3|饭:fan4|。:,I want to go to a restaurant for dinner.,1
11141,他想进一步了解他们。,simplified,他:ta1|想:xiang3|进:jin4|一:yi2|步:bu4|了:liao3|解:jie3|他:ta1|们:men|。:,He wants to learn more about them.,3
11142,我想要杯咖啡。,neutral,我:wo3|想:xiang3|要:yao4|杯:bei1|咖:ka1|啡:fei1|。:,I would like a cup of coffee.,3
11143,把橘子从冰箱里拿出来。,simplified,把:ba3|橘:ju2|子:zi|从:cong2|冰:bing1|箱:xiang1|里:li3|拿:na2|出:chu1|来:lai2|。:,Take the oranges out of the fridge.,7-9
11144,我知道你住哪儿。,neutral,我:wo3|知:zhi1|道:dao4|你:ni3|住:zhu4|哪:na3|儿:er2|。:,I know where you live.,1
11145,你可以大声说吗？我听不见。,simplified,你:ni3|可:ke3|以:yi3|大:da4|声:sheng1|说:shuo1|吗:ma|？:|我:wo3|听:ting1|不:bu2|见:jian4|。:,Can you speak louder? I can't hear you.,2
11146,我叔叔住在西班牙的首都马德里。,simplified,我:wo3|叔:shu1|叔:shu1|住:zhu4|在:zai4|西:xi1|班:ban1|牙:ya2|的:de|首:shou3|都:du1|马:ma3|德:de2|里:li3|。:,"My uncle lives in Madrid, the capital of Spain.",5
11147,昨天晚上我吃了咖喱伴饭。,simplified,昨:zuo2|天:tian1|晚:wan3|上:shang4|我:wo3|吃:chi1|了:le|咖:ga1|喱:li2|伴:ban4|饭:fan4|。:,I had curry with rice last night.,beyond-hsk
11148,我花了两个小时来记这个句子。,simplified,我:wo3|花:hua1|了:le|两:liang3|个:ge4|小:xiao3|时:shi2|来:lai2|记:ji4|这:zhe4|个:ge|句:ju4|子:zi|。:,I spent two hours memorizing this sentence.,2
11149,他用蜂蜜来代替糖。,simplified,他:ta1|用:yong4|蜂:feng1|蜜:mi4|来:lai2|代:dai4|替:ti4|糖:tang2|。:,He uses honey instead of sugar.,7-9
11150,好了，不用担心，你可以完全依靠我。,neutral,好:hao3|了:le|，:|不:bu4|用:yong4|担:dan1|心:xin1|，:|你:ni3|可:ke3|以:yi3|完:wan2|全:quan2|依:yi1|靠:kao4|我:wo3|。:,"Alright, don't worry, you can completely rely on me.",4
11151,希望早点得到你的消息。,neutral,希:xi1|望:wang4|早:zao3|点:dian3|得:de2|到:dao4|你:ni3|的:de|消:xiao1|息:xi1|。:,I hope to hear from you soon.,3
11152,放学后，我经常踢足球。,simplified,放:fang4|学:xue2|后:hou4|，:|我:wo3|经:jing1|常:chang2|踢:ti1|足:zu2|球:qiu2|。:,I often play soccer after school.,6
11153,他很诚实，我可以信赖他。,simplified,他:ta1|很:hen3|诚:cheng2|实:shi2|，:|我:wo3|可:ke3|以:yi3|信:xin4|赖:lai4|他:ta1|。:,"He is very honest, and I can trust him.",6
11154,我妈妈不能来了。,simplified,我:wo3|妈:ma1|妈:ma1|不:bu4|能:neng2|来:lai2|了:le|。:,My mom can't come.,1
11155,我妈妈在厨房里。,simplified,我:wo3|妈:ma1|妈:ma1|在:zai4|厨:chu2|房:fang2|里:li3|。:,My mom is in the kitchen.,5
11156,爸爸死后，他就开始照顾妈妈。,simplified,爸:ba4|爸:ba4|死:si3|后:hou4|，:|他:ta1|就:jiu4|开:kai1|始:shi3|照:zhao4|顾:gu4|妈:ma1|妈:ma1|。:,"After dad passed away, he started taking care of mom.",3
11157,我不允许你那样做。,simplified,我:wo3|不:bu4|允:yun3|许:xu3|你:ni3|那:na4|样:yang4|做:zuo4|。:,I won't allow you to do that.,6
11158,我想他不会来的。,simplified,我:wo3|想:xiang3|他:ta1|不:bu2|会:hui4|来:lai2|的:de|。:,I don't think he will come.,1
11159,实在是太冷了。,neutral,实:shi2|在:zai4|是:shi4|太:tai4|冷:leng3|了:le|。:,It's really too cold.,2
11160,他自以为是。,simplified,他:ta1|自:zi4|以:yi3|为:wei2|是:shi4|。:,He is very self-righteous.,2
11161,我可以要杯水吗？,simplified,我:wo3|可:ke3|以:yi3|要:yao4|杯:bei1|水:shui3|吗:ma|？:,Can I have a glass of water?,2
11162,你应该为你的粗鲁向她道歉。,simplified,你:ni3|应:ying1|该:gai1|为:wei4|你:ni3|的:de|粗:cu1|鲁:lu3|向:xiang4|她:ta1|道:dao4|歉:qian4|。:,You should apologize to her for your rudeness.,7-9
11163,她没有告诉我她的名字。,simplified,她:ta1|没:mei2|有:you3|告:gao4|诉:su4|我:wo3|她:ta1|的:de|名:ming2|字:zi4|。:,She didn't tell me her name.,1
11164,我抱着去美国的想法学英语。,simplified,我:wo3|抱:bao4|着:zhe|去:qu4|美:mei3|国:guo2|的:de|想:xiang3|法:fa3|学:xue2|英:ying1|语:yu3|。:,I'm learning English with the idea of going to the United States.,4
11165,商店7点钟关门。,simplified,商:shang1|店:dian4|7:|点:dian3|钟:zhong1|关:guan1|门:men2|。:,The store closes at 7 o'clock.,2
11166,数百个人在这家工厂上班。,neutral,数:shu4|百:bai3|个:ge4|人:ren2|在:zai4|这:zhe4|家:jia1|工:gong1|厂:chang3|上:shang4|班:ban1|。:,Hundreds of people work at this factory.,3
11167,我的手表不准了。,neutral,我:wo3|的:de|手:shou3|表:biao3|不:bu4|准:zhun3|了:le|。:,My watch is not accurate.,2
11168,我和妈妈，弟弟还有爷爷奶奶住在一起。,simplified,我:wo3|和:he2|妈:ma1|妈:ma1|，:|弟:di4|弟:di|还:hai2|有:you3|爷:ye2|爷:ye2|奶:nai3|奶:nai3|住:zhu4|在:zai4|一:yi4|起:qi3|。:,"I live with my mom, younger brother, and grandparents.",1
11169,约翰住在纽约。,simplified,约:yue1|翰:han4|住:zhu4|在:zai4|纽:niu3|约:yue1|。:,John lives in New York.,beyond-hsk
11170,带我去见你们的领导。,simplified,带:dai4|我:wo3|去:qu4|见:jian4|你:ni3|们:men|的:de|领:ling3|导:dao3|。:,Take me to meet your leader.,3
11171,如果你不想一个人呆着，我可以陪着你。,neutral,如:ru2|果:guo3|你:ni3|不:bu4|想:xiang3|一:yi2|个:ge4|人:ren2|呆:dai1|着:zhe|，:|我:wo3|可:ke3|以:yi3|陪:pei2|着:zhe|你:ni3|。:,"If you don't want to be alone, I can keep you company.",5
11172,Ken每天都踢足球。,neutral,Ken:|每:mei3|天:tian1|都:dou1|踢:ti1|足:zu2|球:qiu2|。:,Ken plays soccer every day.,6
11173,他坐在那里看着窗外。,neutral,他:ta1|坐:zuo4|在:zai4|那:na4|里:li3|看:kan4|着:zhe|窗:chuang1|外:wai4|。:,He is sitting there looking out the window.,4
11174,妈妈比家里其他人起的都早。,simplified,妈:ma1|妈:ma1|比:bi3|家:jia1|里:li3|其:qi2|他:ta1|人:ren2|起:qi3|的:de|都:dou1|早:zao3|。:,Mom gets up earlier than anyone else in the house.,2
11175,1954年战争结束。,simplified,1954:|年:nian2|战:zhan4|争:zheng1|结:jie2|束:shu4|。:,The war ended in 1954.,4
11176,他开了三枪。,simplified,他:ta1|开:kai1|了:le|三:san1|枪:qiang1|。:,He fired three shots.,5
11177,你的城市有多少人口？,neutral,你:ni3|的:de|城:cheng2|市:shi4|有:you3|多:duo1|少:shao3|人:ren2|口:kou3|？:,What is the population of your city?,3
11178,他的腿很长。,simplified,他:ta1|的:de|腿:tui3|很:hen3|长:chang2|。:,His legs are very long.,2
11179,我不太确定这个单词的发音。,simplified,我:wo3|不:bu4|太:tai4|确:que4|定:ding4|这:zhe4|个:ge|单:dan1|词:ci2|的:de|发:fa1|音:yin1|。:,I'm not quite sure about the pronunciation of this word.,2
11180,飞往东京的A航空112将晚点30分钟。,simplified,飞:fei1|往:wang3|东:dong1|京:jing1|的:de|A:|航:hang2|空:kong1|112:|将:jiang1|晚:wan3|点:dian3|30:|分:fen1|钟:zhong1|。:,Flight A112 to Tokyo will be delayed by 30 minutes.,4
11181,在公园里，我看到一个年轻人躺在一棵樱桃树下的长椅上。,simplified,在:zai4|公:gong1|园:yuan2|里:li3|，:|我:wo3|看:kan4|到:dao4|一:yi2|个:ge4|年:nian2|轻:qing1|人:ren2|躺:tang3|在:zai4|一:yi1|棵:ke1|樱:ying1|桃:tao2|树:shu4|下:xia4|的:de|长:chang2|椅:yi3|上:shang4|。:,"In the park, I saw a young man lying on a bench under a cherry tree.",beyond-hsk
11182,我前天到达成田市。,simplified,我:wo3|前:qian2|天:tian1|到:dao4|达:da2|成:cheng2|田:tian2|市:shi4|。:,I arrived in Narita City the day before yesterday.,6
11183,犹豫了片刻之后，他把书放在了桌子上。,simplified,犹:you2|豫:yu4|了:le|片:pian4|刻:ke4|之:zhi1|后:hou4|，:|他:ta1|把:ba3|书:shu1|放:fang4|在:zai4|了:le|桌:zhuo1|子:zi|上:shang4|。:,"After hesitating for a moment, he placed the book on the table.",5
11184,我妈妈讲话很慢。,simplified,我:wo3|妈:ma1|妈:ma1|讲:jiang3|话:hua4|很:hen3|慢:man4|。:,My mom speaks very slowly.,2
11185,不要太依靠别人。,neutral,不:bu2|要:yao4|太:tai4|依:yi1|靠:kao4|别:bie2|人:ren2|。:,Don't rely too much on others.,4
11186,把你的翻译和黑板上的比较一下。,simplified,把:ba3|你:ni3|的:de|翻:fan1|译:yi4|和:he2|黑:hei1|板:ban3|上:shang4|的:de|比:bi3|较:jiao4|一:yi1|下:xia4|。:,Compare your translation with the one on the blackboard.,4
11187,我宁愿呆在这里。,neutral,我:wo3|宁:ning4|愿:yuan4|呆:dai1|在:zai4|这:zhe4|里:li3|。:,I would rather stay here.,5
11188,日本人喜欢集体旅游。,neutral,日:ri4|本:ben3|人:ren2|喜:xi3|欢:huan1|集:ji2|体:ti3|旅:lv3|游:you2|。:,Japanese people enjoy group travel.,3
11189,我除了坐飞机外别无选择。,simplified,我:wo3|除:chu2|了:le|坐:zuo4|飞:fei1|机:ji1|外:wai4|别:bie2|无:wu2|选:xuan3|择:ze2|。:,I have no choice but to fly.,4
11190,我们住在纽约时租了间公寓。,simplified,我:wo3|们:men|住:zhu4|在:zai4|纽:niu3|约:yue1|时:shi2|租:zu1|了:le|间:jian1|公:gong1|寓:yu4|。:,We rented an apartment while living in New York.,7-9
11191,我必须得帮助他。,simplified,我:wo3|必:bi4|须:xu1|得:de2|帮:bang1|助:zhu4|他:ta1|。:,I have to help him.,2
11192,我每年7月4号都会来这里。,simplified,我:wo3|每:mei3|年:nian2|7:|月:yue4|4:|号:hao4|都:dou1|会:hui4|来:lai2|这:zhe4|里:li3|。:,I come here every July 4th.,3
11193,谁更年轻，他还是我？,simplified,谁:shei2|更:geng4|年:nian2|轻:qing1|，:|他:ta1|还:hai2|是:shi4|我:wo3|？:,"Who is younger, him or me?",2
11194,得寸进尺。,simplified,得:de2|寸:cun4|进:jin4|尺:chi3|。:,"Inch by inch, progress is made.",4
11195,她的眼里充满了泪水。,simplified,她:ta1|的:de|眼:yan3|里:li3|充:chong1|满:man3|了:le|泪:lei4|水:shui3|。:,Her eyes were filled with tears.,4
11196,我很漂亮。,neutral,我:wo3|很:hen3|漂:piao4|亮:liang4|。:,I am very beautiful.,2
11197,他在担任总统期间访问了日本。,simplified,他:ta1|在:zai4|担:dan1|任:ren4|总:zong3|统:tong3|期:qi1|间:jian1|访:fang3|问:wen4|了:le|日:ri4|本:ben3|。:,He visited Japan during his presidency.,4
11198,他多大了？,neutral,他:ta1|多:duo1|大:da4|了:le|？:,How old is he?,1
11199,这兄弟俩长的很像。,simplified,这:zhe4|兄:xiong1|弟:di4|俩:lia3|长:zhang3|的:de|很:hen3|像:xiang4|。:,These two brothers look very similar.,4
11200,长裙子很流行。,simplified,长:chang2|裙:qun2|子:zi|很:hen3|流:liu2|行:xing2|。:,Long skirts are very popular.,3
11201,他的房间很乱。,simplified,他:ta1|的:de|房:fang2|间:jian1|很:hen3|乱:luan4|。:,His room is very messy.,3
11202,离开厕所前应该洗手。,simplified,离:li2|开:kai1|厕:ce4|所:suo3|前:qian2|应:ying1|该:gai1|洗:xi3|手:shou3|。:,You should wash your hands before leaving the bathroom.,6
11203,没人知道他的名字。,neutral,没:mei2|人:ren2|知:zhi1|道:dao4|他:ta1|的:de|名:ming2|字:zi4|。:,No one knows his name.,1
11204,冬去春来。,simplified,冬:dong1|去:qu4|春:chun1|来:lai2|。:,Winter goes and spring comes.,2
11205,如果你不想去就别去了。,neutral,如:ru2|果:guo3|你:ni3|不:bu4|想:xiang3|去:qu4|就:jiu4|别:bie2|去:qu4|了:le|。:,"If you don't want to go, then don't go.",2
11206,工作的时候不要看漫画。,neutral,工:gong1|作:zuo4|的:de|时:shi2|候:hou4|不:bu2|要:yao4|看:kan4|漫:man4|画:hua4|。:,Don't read comics while working.,5
11207,不用，谢谢。我只是看看而已。,simplified,不:bu4|用:yong4|，:|谢:xie4|谢:xie4|。:|我:wo3|只:zhi3|是:shi4|看:kan4|看:kan4|而:er2|已:yi3|。:,"No need, thank you. I'm just looking.",2
11208,他整天把我当成小孩子。,neutral,他:ta1|整:zheng3|天:tian1|把:ba3|我:wo3|当:dang4|成:cheng2|小:xiao3|孩:hai2|子:zi|。:,He treats me like a child all day.,3
11209,他来的很突然。,simplified,他:ta1|来:lai2|的:de|很:hen3|突:tu1|然:ran2|。:,He came very suddenly.,3
11210,这部小说是一个著名的美国作家写的。,simplified,这:zhe4|部:bu4|小:xiao3|说:shuo1|是:shi4|一:yi2|个:ge4|著:zhu4|名:ming2|的:de|美:mei3|国:guo2|作:zuo4|家:jia1|写:xie3|的:de|。:,This novel was written by a famous American writer.,4
11211,我要黄色的。,neutral,我:wo3|要:yao4|黄:huang2|色:se4|的:de|。:,I want the yellow one.,2
11212,我的手表被偷了。,neutral,我:wo3|的:de|手:shou3|表:biao3|被:bei4|偷:tou1|了:le|。:,My watch was stolen.,5
11213,我叔叔现在生活很安逸。,simplified,我:wo3|叔:shu1|叔:shu1|现:xian4|在:zai4|生:sheng1|活:huo2|很:hen3|安:an1|逸:yi4|。:,My uncle is living a comfortable life now.,7-9
11214,我同意你站在我们这边。,simplified,我:wo3|同:tong2|意:yi4|你:ni3|站:zhan4|在:zai4|我:wo3|们:men|这:zhe4|边:bian1|。:,I agree with you standing on our side.,2
11215,我支持你。,neutral,我:wo3|支:zhi1|持:chi2|你:ni3|。:,I support you.,3
11216,Ken坐在我旁边。,neutral,Ken:|坐:zuo4|在:zai4|我:wo3|旁:pang2|边:bian1|。:,Ken is sitting next to me.,1
11217,在这方面，我不如他。,neutral,在:zai4|这:zhe4|方:fang1|面:mian4|，:|我:wo3|不:bu4|如:ru2|他:ta1|。:,"In this regard, I am not as good as him.",2
11218,好的开始就会有好的结果。,simplified,好:hao3|的:de|开:kai1|始:shi3|就:jiu4|会:hui4|有:you3|好:hao3|的:de|结:jie2|果:guo3|。:,A good start leads to a good result.,3
11219,我把这本书从头到尾读了一遍。,simplified,我:wo3|把:ba3|这:zhe4|本:ben3|书:shu1|从:cong2|头:tou2|到:dao4|尾:wei3|读:du2|了:le|一:yi1|遍:bian4|。:,I read this book from cover to cover.,4
11220,我们的生活不是由物质，而是由精神来决定的。,simplified,我:wo3|们:men|的:de|生:sheng1|活:huo2|不:bu2|是:shi4|由:you2|物:wu4|质:zhi4|，:|而:er2|是:shi4|由:you2|精:jing1|神:shen2|来:lai2|决:jue2|定:ding4|的:de|。:,"Our lives are determined not by material things, but by spirit.",4
11221,他晒不黑。,neutral,他:ta1|晒:shai4|不:bu4|黑:hei1|。:,He can't get sunburned.,4
11222,偶数乘以奇数是偶数，奇数乘以奇数是奇数。,neutral,偶:ou3|数:shu4|乘:cheng2|以:yi3|奇:ji1|数:shu4|是:shi4|偶:ou3|数:shu4|，:|奇:ji1|数:shu4|乘:cheng2|以:yi3|奇:ji1|数:shu4|是:shi4|奇:ji1|数:shu4|。:,"An even number multiplied by an odd number is even, and an odd number multiplied by an odd number is odd.",5
11223,我不想放弃我的想法，虽然一些想法有点极端。,simplified,我:wo3|不:bu4|想:xiang3|放:fang4|弃:qi4|我:wo3|的:de|想:xiang3|法:fa3|，:|虽:sui1|然:ran2|一:yi1|些:xie1|想:xiang3|法:fa3|有:you3|点:dian3|极:ji2|端:duan1|。:,"I don't want to give up my ideas, even though some of them are a bit extreme.",6
11224,即使他道歉了，我还是很愤怒。,simplified,即:ji2|使:shi3|他:ta1|道:dao4|歉:qian4|了:le|，:|我:wo3|还:hai2|是:shi4|很:hen3|愤:fen4|怒:nu4|。:,"Even if he apologizes, I'm still very angry.",6
11225,我们指望着你到时把我们叫醒，所以别睡着了。,simplified,我:wo3|们:men|指:zhi3|望:wang4|着:zhe|你:ni3|到:dao4|时:shi2|把:ba3|我:wo3|们:men|叫:jiao4|醒:xing3|，:|所:suo3|以:yi3|别:bie2|睡:shui4|着:zhao2|了:le|。:,"We're counting on you to wake us up, so don't fall asleep.",4
