id,sentence,script_type
14924,你应该宁可用词汇来造句，也不要试着死记硬背。,simplified
14925,继续每天练习，到时候会自然产生结果。,simplified
14926,不管他去哪儿，他的狗就随着走。,neutral
14927,她经常把糖和盐搞错。,simplified
14928,“维基百科”是什么东西？,simplified
14929,Tatoeba 计划获得了音译的语言为日语、汉语、上海话、格鲁吉亚语及乌兹别克语。,simplified
14930,欢迎来到 Tatoeba。,simplified
14931,她重120斤。,neutral
14932,日语 “Tatoeba” 是例如的意思。,simplified
14933,她很聪明。,simplified
14934,飞机场在那边。,simplified
14935,暖气坏了。,neutral
14936,昨天相当的冷啊！,neutral
14937,一座岛屿映入眼帘。,simplified
14938,我有幾個好朋友。,traditional
14939,我觉得你新的头发颜色好看。,simplified
14940,我希望你能唱一首歌。,neutral
14941,你应该至少一天刷两次牙。,simplified
14942,他很公正。,neutral
14943,你们很幸运有这样的朋友们。,simplified
14944,他向大家炫耀了他的那辆新车。,simplified
14945,我不知道他会不会来。,simplified
14946,我从没看过一个那么漂亮的日落。,neutral
14947,有的时候大饭店未必好吃，反而是路边摊好吃。,simplified
14948,你的學校有多少個學生？,traditional
14949,如果你踫到朗先生，別忘了問候一下他的太太。,traditional
14950,照片中的每一個人都在微笑著。,traditional
14951,他把座位讓給了一個老婆婆。,traditional
14952,我對化學略懂一二。,traditional
14953,義大利的首都是羅馬。,traditional
14954,我爸爸不喜歡夏天炎熱的天氣。,traditional
14955,媽媽買了一條新的裙子給我。,traditional
14956,鳥兒在森林裏歌唱。,traditional
14957,人體能夠快速地適應氣溫的轉變。,traditional
14958,這本字典的例句十分淺白易懂。,traditional
14959,我們突然聽見外面傳來了一下槍聲。,traditional
14960,我们聊了聊该做的事。,simplified
14961,这种啤酒有苦味。,neutral
14962,就算是全世界跑得最快的人，也要吃飽了才跑得動。,traditional
14963,無論你想去還是不想去，你也要去。,traditional
14964,现在已经七点。,simplified
14965,有人叫她陪我。,neutral
14966,你们去过非洲吗？,simplified
14967,我不小心打落了一个花瓶。,neutral
14968,一碗飯大約重一百八十克。,traditional
14969,這本小說的名字出自《聖經》。,traditional
14970,我閒時最喜歡到海邊散步。,traditional
14971,这部恐怖片很吓人，我一看就睡不着觉了。,simplified
14972,这让我感到震惊！,simplified
14973,我的手表需要修理。,neutral
14974,他在汽车站等候。,simplified
14975,比起城市他更喜欢乡村。,simplified
14976,最近的一项调查显示吸烟的人数减少了。,simplified
14977,你坐错火车了。,simplified
14978,嫁给一个英文老师，就可以免费听课。,simplified
14979,狮子很强壮。,simplified
14980,你的问题和这个主题没有关系。,simplified
14981,看到了吧？你应该学一门外语。,simplified
14982,我想变得和您一样聪明。,simplified
14983,我向妈妈学习。,simplified
14984,她来的时侯我已经差不多完成工作了。,simplified
14985,我来自巴西。,simplified
14986,你也是，儿子！,neutral
14987,两个男孩儿吵起来了。,simplified
14988,你昨天晚上看西部牛仔的电影了吗？,simplified
14989,我叫傑克。,traditional
14990,通常都是我洗碗。,neutral
14991,我仍然记得他的名字。,simplified
14992,这正是我想看的视频。,simplified
14993,所有的红苹果都不是一个味道。,simplified
14994,"Georges,你好。怎么样？",simplified
14995,我只是觉得这里用英语比较能表达我的想法。,simplified
14996,飞机将在一小时后起飞。,simplified
14997,请代我向你的家人问好。,simplified
14998,我明天把它带给你。,simplified
14999,你搞得定吗？如果你愿意的话，我可以帮你。,simplified
15000,我打赌他没搞定。,simplified
15001,他给我看了他的影集。,simplified
15002,我为了赶上第一列火车很早就起床了。,simplified
15003,她在今晚的宴会之前应该换衣服。,simplified
15004,这件连衣裙完全适合我。,simplified
15005,他用刀切了肉。,neutral
15006,你每天来这里吗？,simplified
15007,她用左手写字。,simplified
15008,在这里一直有那么多人吗？,simplified
15009,我很开心你喜欢。,neutral
15010,不好意思，我母亲不在家。,simplified
15011,我叫他不要太晚弹钢琴。,simplified
15012,Muiriel 是印第安人。,neutral
15013,Muiriel 是印度人。,neutral
15014,再读一遍。,simplified
15015,他在吃午饭。,simplified
15016,妮可说日语说得很好。,simplified
15017,他亲自去那里了。,simplified
15018,我不会说瑞典语。,simplified
15019,你在干什么？,neutral
15020,为什么他生气？,simplified
15021,我會儘快和他聯絡。,traditional
15022,他重二百七十磅。,neutral
15023,生意停頓了以後，許多公共浴堂都添置了桑拿浴室、健身器材等的新設備，希望能吸引多點人來光顧。,traditional
15024,哪个是我的？,neutral
15025,比尔常常不遵守诺言。,simplified
15026,老师给了我们很多功课。,simplified
15027,数学是他最强的科目。,simplified
15028,他是有名的钢琴家。,simplified
15029,我曾在一家饭店工作过。,simplified
15030,她慢慢地重复了一遍她的名字。,neutral
15031,她的缺点让我更爱她。,simplified
15032,"他们一回来,我就给您打电话。",simplified
15033,他往右边移了书桌。,simplified
15034,请叫他等一下。,simplified
15035,她还不在这儿。,neutral
15036,这个公园多大？,neutral
15037,他在洗澡。,neutral
15038,您可不可以告诉我您贵姓？,simplified
15039,她比我年輕兩歲。,traditional
15040,你打算甚麼時候出發去日本？,traditional
15041,我爸爸病了，正在床上休息，不能見你。,traditional
15042,你應該遵守交通規則。,traditional
15043,我爸爸昨天帶了我去看電影。,traditional
15044,猴子也會殺人 ﹣ 如果牠們有槍的話。,traditional
15045,我现在住在昆明。,simplified
15046,我們通常在七點半吃早飯。,traditional
15047,很多日本人都會在元旦到神社參拜。,traditional
15048,我會在明天之前把你的手錶修理好。,traditional
15049,你只要每天練習就可以了。,traditional
15050,我想要一条鱼。,simplified
15051,我去中国在两年前了。,simplified
15052,去年他的爸爸死。,neutral
15053,我们在中餐厅吃了北京烤鸭。,simplified
15054,你记笔记了吗？,simplified
15055,我们叫那个颜色“午夜蓝”。,simplified
15056,一百， 二百， 三百， 四百， 五百， 六百， 七百， 八百， 九百， 一千。,neutral
15057,今天是星期六。,neutral
15058,我在寻找一个礼物送给我母亲。,simplified
15059,这本书里面有四十张照片。,simplified
15060,我贫血。,simplified
15061,没有人说得出来她在哪里。,simplified
15062,他很像他的父亲。,simplified
15063,打架解決不了問題。,traditional
15064,謝謝你幫忙。,traditional
15065,湯姆把黏土塑成了一個花瓶。,traditional
15066,天突然转阴了。,simplified
15067,我觉得我要躺一下了。,simplified
15068,我让她生气了。,simplified
15069,你越是吃巧克力，越是会变胖。,simplified
15070,我明天要和你谈谈。,simplified
15071,他下午会去公园走一走。,neutral
15072,他恳求我留下来。,simplified
15073,我听说英国的草在冬天也还是绿的。,simplified
15074,请您在这里写。,simplified
15075,我们同意。,simplified
15076,我可不可以试一下这条裙子？,simplified
15077,昨晚他看见天上有个飞碟。,simplified
15078,我在法国南边的一座小山买了一所房子，准备在那里建设老人院。,simplified
15079,他正在打高爾夫球。,traditional
15080,玫瑰的香氣在房間的每一個角落裏飄蕩著。,traditional
15081,我不知道該怎麼回答，便乾脆甚麼也不說。,traditional
15082,請坐。,traditional
15083,我是唯一一個認識他們的人。,traditional
15084,我會在兩個小時內回來。,traditional
15085,莎士比亞把世界比喻成一個舞台。,traditional
15086,去年桃子豐收。,traditional
15087,你不知道乳酪是用牛奶做的嗎？,traditional
15088,你不應該在他溫習的時候和他說話。,traditional
15089,美國的太空科技十分先進。,traditional
15090,據說她曾經是一個模特兒。,traditional
15091,你们家去北海道旅游是真的么？我羡慕你。,simplified
15092,对不起，我不会去。,neutral
15093,我喜欢看电影。,neutral
15094,秋天，叶子会落下。,neutral
15095,他弄丢了电影票。,neutral
15096,很好不是吗？,simplified
15097,等待一位漂亮的姑娘是我的荣幸。,neutral
15098,父父子子。,neutral
15099,我不知道明天會不會下雨。,traditional
15100,材料是很好吗？,simplified
15101,你多大了？,neutral
15102,之二。真的吗？你看起来更年轻。,simplified
15103,牛群在鬱鬱蔥蔥的草地上緩緩移動著。,traditional
15104,全世界有超過三分之一的人在沿岸地區居住。,traditional
15105,他們把箱子砸成了碎片。,traditional
15106,太平洋是世界上最大的海洋。,neutral
15107,她的英語說得很流利。,traditional
15108,渡輪上的乘客不多於一百人。,traditional
15109,我們的國家日益富強。,traditional
15110,我們為他們提供了食物和衣服。,traditional
15111,别说这个。,simplified
15112,我晚饭后弹钢琴。,simplified
15113,他学美国的历史。,simplified
15114,我能看一下您的票吗？,simplified
15115,这是午饭剩下来的。,simplified
15116,我打了网球。,neutral
15117,我请求了Smith先生。,simplified
15118,他解释了这个计划的主要目标。,simplified
15119,海伦的房间一直很干净。,simplified
15120,同类不相残。,simplified
15121,她比我小五岁。,neutral
15122,我只是个老百姓。,neutral
15123,我们听音乐。,simplified
15124,我不吃晚饭因为我想减肥。,simplified
15125,无论你说什么，我都不会相信你。,simplified
15126,他看上去脸色铁青。,simplified
15127,我去医院看了我的老婆。,neutral
15128,我最近胖了。,neutral
15129,暑假七月开始。,neutral
15130,我小个便，带好围巾，就可以走了。,simplified
15131,對啊，她以前是一個很害羞的女孩。,traditional
15132,你是怎樣認識她的？,traditional
15133,我們大獲全勝。,traditional
15134,政府用直升機把物資送到了那個小島。,traditional
15135,我给我的自行车系统地安装了防盗装置。,simplified
15136,我想玩电脑。,simplified
15137,我起初来自中国。,simplified
15138,一个人藏，十个人找。,neutral
15139,消防队员把火扑灭了。,simplified
15140,我昨晚看了那場棒球比賽。,traditional
15141,我們剛剛收到情報，敵方正在前方兩英里處埋伏。,traditional
15142,籃子裏裝滿了蘋果。,traditional
15143,他有用英文寫日記的習慣。,traditional
15144,我的泳術和哥哥不相伯仲。,traditional
15145,教法語的是懷特老師，不是格林老師。,traditional
15146,印度國旗叫做「三色旗」，因為它是由三條不同顏色的色條組成的 ﹣ 橙黃色、白色和綠色。,traditional
15147,他在牆上畫了一條直線。,traditional
15148,鸟喜欢大米。,simplified
15149,他们是哪里的?,simplified
15150,你手里有什么?,neutral
15151,从哪里而来？,simplified
15152,他在睡觉吗?,simplified
15153,她很想知道那束花是誰寄來的。,traditional
15154,因為天氣很熱，所以我就走到陰涼的地方歇了一會兒。,traditional
15155,公園裏有一個漂亮的黑髮女孩。,traditional
15156,他跑得比我快。,neutral
15157,他和她之間的友誼，漸漸地醞釀成了愛情。,traditional
15158,去教堂參加禮拜，不會馬上就變成一個基督徒，就好像站在車房裏，不會變成一輛車一樣。,traditional
15159,我不知道他去了哪裏。,traditional
15160,你可能已經看過這本書。,traditional
15161,盲人的耳朵通常十分靈敏。,traditional
15162,我是誰？我是怎樣來到這個世界的？,traditional
15163,無論你想學甚麼樂器，最重要的都是不要在開始的時候犯錯，因為做錯的事情，往往都會比做對的事情更容易在腦裏留下深刻的印象。,traditional
15164,他對我說：「請你幫我一個忙。」,traditional
15165,我在街上聽到有人叫我的名字。,traditional
15166,他在交通意外中受了傷。,traditional
15167,你知道顯微鏡是誰發明的嗎？,traditional
15168,每一位選手都有義務遵守規則。,traditional
15169,愛情就像麻疹──一生總要經歷一次。,traditional
15170,我今天早上喝了一杯牛奶。,neutral
15171,我知道这种动物的名字。,neutral
15172,孩子平常不喜欢菠菜。,neutral
15173,他们同时到了巴黎。,simplified
15174,请再在我的茶里加点牛奶。,simplified
15175,看来他的失败和他的性格有关。,simplified
15176,我看孩子们过了马路。,simplified
15177,他没见到任何人。,simplified
15178,这两个看法十分不同。,neutral
15179,我想还待一夜，行不行？,neutral
15180,我到处都看了，可还是没找到我的皮夹。,simplified
15181,孩子想和大人一样表现。,simplified
15182,我们没有糖。,simplified
15183,我早饭主要吃水果。,simplified
15184,他只买对他会有用的东西。,simplified
15185,我相信他。,neutral
15186,德语不是一门容易的语言。,simplified
15187,昨天我十点去睡觉了。,simplified
15188,和他相处好难。,simplified
15189,他叫什么名字？,neutral
15190,啊呀，我搞错了。,simplified
15191,美國的石油資源十分豐富。,traditional
15192,如果你不喜歡我的方法，就用你自己的方法去做吧。,traditional
15193,公園裏有一個漂亮的黑髮姑娘。,traditional
15194,你以為自己醒着，但其實你可能是在做夢。,traditional
15195,你们放假的时候做了什么？,simplified
15196,他把他的狗带到学校去了。,simplified
15197,这种动物以草为食。,simplified
15198,星期日营业吗？,simplified
15199,我最好现在去睡觉。,simplified
15200,他们没赶上火车。,simplified
15201,我可不可以早上洗澡？,neutral
15202,我们在意大利的时候，租车用了一个礼拜 。,simplified
15203,你们的计划很好，可是我的更好。,simplified
15204,你们说了要参加会议了吗？,simplified
15205,我们几乎不抱他还活着的希望。,simplified
15206,您有火柴吗？,simplified
15207,他真是个傻子。,neutral
15208,他的鼻子很长。,simplified
15209,所有鸟都会飞吗？,simplified
15210,我们一起玩吗？,simplified
15211,有人偷了我的包。,neutral
15212,他说他让你说慢一点。,simplified
15213,英语不是我的母语。,simplified
15214,我有几枚银币。,simplified
15215,他穿了一条牛仔裤。,simplified
15216,盒子里的一些苹果烂了。,simplified
15217,我每天早上刮胡子。,neutral
15218,我有两个孩子。,neutral
15219,我爸爸去中国了。,simplified
15220,我决定我们不去。,simplified
15221,想喝什么？,neutral
15222,我每次听这首歌都会听到哭。,neutral
15223,他绝不是说人坏话的人。,simplified
15224,我的眼睛疲劳。,neutral
15225,我快饿死了。,simplified
15226,我正在学习巴斯克语。,simplified
15227,一個醉了的男人在長椅上睡觉。,ambiguous
15228,今天早上你為什麼遲到了呢?,traditional
15229,熊会爬树。,simplified
15230,燕子飞得非常快。,simplified
15231,你有多少姐妹呢？,neutral
15232,你学习或工作？,simplified
15233,有多少种颜色？,simplified
15234,你们哪里的？,simplified
15235,你还是去看医生比较好。,simplified
15236,海绵吸水。,simplified
15237,我每天洗一次澡。,neutral
15238,許多老百姓加入了軍隊。,traditional
15239,请在7点到8点钟之间打电话给我。,simplified
15240,爸爸每天寫日記。,traditional
15241,她专注在她的新工作上。,simplified
15242,他的演讲持续了三个小时。,simplified
15243,我们想知道真相。,simplified
15244,这三个漂亮的女孩都是我的侄女。,neutral
15245,我在树林里迷路了。,simplified
15246,白兔的耳朵比狐狸長。,traditional
15247,我們明天會有一個數學小測。,traditional
15248,她毫無疑問是清白的。,traditional
15249,人有選擇的權利，但是奴隸卻只有服從的份兒。,traditional
15250,暴風雨過後，那條路被倒下來的樹堵住了。,traditional
15251,天上一朵雲也沒有。,traditional
15252,那个时候我不知道怎样做才好。,simplified
15253,请在7点钟前来这里。,simplified
15254,我决不会忘记去年与总统握手的情景。,simplified
15255,她習慣在公開場合說話。,traditional
15256,这封信是揭开谜团的唯一线索。,simplified
15257,他犯了兩次相同的錯誤。,traditional
15258,我餵我的孩子母乳。,traditional
15259,除了雾我看不见任何东西。,simplified
15260,我在银行附近碰见老朋友。,simplified
15261,他雇用了新秘书。,simplified
15262,我们反对星期日工作。,simplified
15263,猜猜看我今天遇見了誰。,traditional
15264,我不记得我把钥匙放在哪儿了。,simplified
15265,你要學英語嗎?,traditional
15266,他答应妈妈一定会在九点前回到家。,simplified
15267,在我的笔记本里早就有这个词了。,simplified
15268,他有些在日本不能找到的外书。,simplified
15269,你们给了小费吗？,simplified
15270,不要把奥地利和澳大利亚混淆。,simplified
15271,這是我的初戀。,traditional
15272,你必须遵守学校的规则。,simplified
15273,你们认不认识一家好饭店去吃午饭？,simplified
15274,你在想什么？,neutral
15275,我很喜欢笑话。,simplified
15276,我有个弟弟。,neutral
15277,我有个哥哥。,neutral
15278,我在你的生日会送给你一辆自行车。,simplified
15279,我有和你哥哥一样的词典。,simplified
15280,我没有你对文字那么感兴趣。,simplified
15281,我对你们的工作印象深刻。,simplified
15282,我想看你。,neutral
15283,我同意你。,neutral
15284,我认识你爸爸。,simplified
15285,我的包被偷了。,neutral
15286,星期日开门吗？,simplified
15287,他將來想當警察。,traditional
15288,是誰忘了把倉庫的門鎖上？,traditional
15289,火車在今天下午一點半出發。,traditional
15290,消防局在警察局的旁邊。,traditional
15291,他說的話我一句也聽不懂。,traditional
15292,她拒絕了我的要求。,traditional
15293,Tatoeba 現在有六句蒙古語的句子。,traditional
15294,他雖然擺着一副若無其事的樣子，但是我想他心裏一定擔心得不得了。,traditional
15295,他主張的是出生的先後次序和個性有很密切的關係。,traditional
15296,内心世界很丰富，不知该如何表达了！,simplified
15297,我不需要。,neutral
15298,今年的雪下得比去年多。,neutral
15299,我的国家离日本很远。,simplified
15300,我生病了，我在家待了一整天。,neutral
15301,我有钱的话，我就买这台电脑。,simplified
15302,如果他继续这样喝酒，他该乘出租车回家。,simplified
15303,他怎么敢抱怨？,neutral
15304,Smith先生在京都住了三年。,neutral
15305,大家都喜欢他。,neutral
15306,我觉得她很老实。,simplified
15307,他后悔浪费了他的时间。,simplified
15308,吃了沒,traditional
15309,給吃的啦？,traditional
15310,這位朋友沒有出席。,traditional
15311,吃了没。,neutral
15312,给吃的啦？,simplified
15313,你去哪点儿？,neutral
15314,这是真的吗？,simplified
15315,这个给是真呢啊？,simplified
15316,你之下在整些喃样？,simplified
15317,天呐，真好吃!,simplified
15318,埋埋散散，太好吃啦！,neutral
15319,我的经济状况不是很好。,simplified
15320,美国的医疗费很高。,simplified
15321,你去年寫了多少張聖誕卡？,traditional
15322,除了我以外，大家都很忙。,neutral
15323,雖然天氣很冷，但我還是出去了。,traditional
15324,去外國旅行不能不帶護照。,traditional
15325,昨天一整天都在下雨。,neutral
15326,她的法語說得很流利。,traditional
15327,搶劫銀行的後果就是在監獄裏蹲十年。,traditional
15328,一片枯葉落到了地上。,traditional
15329,我打算買一台照相機給我的女兒。,traditional
15330,我昨晚寫了三封信。,traditional
15331,我踫見了一個老朋友。,traditional
15332,他開會的時候一句話也沒有說。,traditional
15333,許多國家已經廢除了死刑。,traditional
15334,他不是美國人，是法國人。,traditional
15335,日本的高校生每年要上三十五個星期的學。,traditional
15336,她小時候唱歌唱得很好。,traditional
15337,他們沒有甚麼可能會結婚。,traditional
15338,長遠來說，我們買了這台機器可以省回很多錢。,traditional
15339,我的兒子想成為一個專業高爾夫球手。,traditional
15340,如果我可以把英文字母重新排序，我會把「U」和「I」放在一起。,traditional
15341,他从国内回来了。,simplified
15342,他从大陆回来了。,simplified
15343,好多朋友和熟人来了。,simplified
15344,他們昨天乘巴士去了動物園。,traditional
15345,她以前是一位老師。,traditional
15346,無論發生甚麼事，我也不會離開你。,traditional
15347,昨天發生了一場地震。,traditional
15348,日本女性平均在二十五歲結婚。,traditional
15349,貝蒂是最後一個來的。,traditional
15350,我們出外吃飯吧。,traditional
15351,可可不是一隻普通的猩猩。,traditional
15352,圣诞节快乐！,simplified
15353,對不起，我愛你。,traditional
15354,很多學生買了這本書。,traditional
15355,很多学生买了这本书。,simplified
15356,我仍然热爱着网球运动。,simplified
15357,我仍然熱愛著網球運動。,traditional
15358,這座城市被群山環繞。,traditional
15359,这座城市被群山环绕。,simplified
15360,他的政權必定會崩潰。,traditional
15361,快點兒，不然你就要遲到了。,traditional
15362,快点儿，不然你就要迟到了。,simplified
15363,钱够吗？,simplified
15364,錢夠嗎？,traditional
15365,他把問題從腦子裡排除了。,traditional
15366,他把问题从脑子里排除了。,simplified
15367,咬紧牙关。,simplified
15368,硬着头皮。,neutral
15369,我之前从未到过那儿。,neutral
15370,我之前從未到過那兒。,traditional
15371,我打算八點整在房裡吃早餐。,traditional
15372,我打算八点在房里吃早餐。,neutral
15373,农夫们在田地里忙碌地耕种。,simplified
15374,他就是这么杀了那头大熊。,simplified
15375,美国是一个民主国家。,simplified
15376,美國是一個民主國家。,traditional
15377,告訴我你是如果解決這些問題的？,traditional
15378,這個國家裡有很多人種。,traditional
15379,你只是在聽講，沒有思考。,traditional
15380,她習慣熬夜。,traditional
15381,我真想去意大利。,neutral
15382,喀山有地鐵。,traditional
15383,我叔叔給了我一雙鞋。,traditional
15384,即使我們給他提了很多建議，他還是做了他想做的。,traditional
15385,我想去美國。,traditional
15386,他識字。,traditional
15387,我付他一百美元給我洗車。,traditional
15388,他聽到某人叫救命。,traditional
15389,請遵循護士的指導。,traditional
15390,在他們身上發生了什麽仍然是個謎。,traditional
15391,我們在冬天經常去滑雪。,traditional
15392,這種癥狀在我身上將會持續多久？,traditional
15393,這個派對真成功。,traditional
15394,我才不聽你說的呢！,traditional
15395,她時日無多。,traditional
15396,損失高達一百萬美元。,traditional
15397,這家賓館建於大約五十年前。,traditional
15398,你上課要遲到啦。,traditional
15399,加入我們對你有利。,traditional
15400,最近很少見到我爸。,traditional
15401,請站成一列。,traditional
15402,在荷蘭隨你走到哪裡都見得到風車。,traditional
15403,我爸現在在花園裡頭。,traditional
15404,我眼睛腫了。,traditional
15405,艾米還沒寫過信。,traditional
15406,我有一個問題。,traditional
15407,我帶他到他的兄弟那兒。,traditional
15408,這個句子還沒在tatoeba.org上出現過。,traditional
15409,他跟你差不多高。,neutral
15410,這趟航班六點起飛。,traditional
15411,他在田徑運動上表現出色。,traditional
15412,我們是先結婚呢，還是先生孩子？,traditional
15413,我不知道他知不知道。,neutral
15414,真蠢！,neutral
15415,他好像知道這個秘密。,traditional
15416,我想看這部電影。,traditional
15417,不要光說不做！,traditional
15418,意大利的人口才有日本的一半多。,neutral
15419,真想不到在這兒會碰上你！,traditional
15420,今晚你打算做什麽？,traditional
15421,警察逮捕了謀殺這位小姐的兇手。,traditional
15422,他們經歷了艱難困苦。,traditional
15423,我要到花展上展示我的玫瑰花。,neutral
15424,請試試看。,traditional
15425,在睡覺前我寫了五封信。,traditional
15426,想吃點兒餅乾嗎？,traditional
15427,我來自一座位於中西部的小城。,traditional
15428,我的心跳得很快。,neutral
15429,他既誠實又勤勞，而他的弟弟正好相反。,traditional
15430,你最大的計劃是什麽？,traditional
15431,去年我得了中風。,traditional
15432,六月初我來到多倫多。,traditional
15433,海上旅行很有趣。,neutral
15434,朕即國家！,traditional
15435,朕即国家！,simplified
15436,他將得到最高的平均分。,traditional
15437,他名聲遠揚。,traditional
15438,医生把我的脉。,neutral
15439,他有酗酒的問題。,traditional
15440,我住在大城市。,neutral
15441,我不敢殺動物。,traditional
15442,長頭髮落伍了。,traditional
15443,我們走了很久。,traditional
15444,我們面前出現了一座城堡。,traditional
15445,直到下周。,neutral
15446,誰都會犯錯。,traditional
15447,人非聖賢，孰能無過。,traditional
15448,请问您可以说慢一点儿吗？,simplified
15449,我教西班牙語。,traditional
15450,這是你的房間嗎？,traditional
15451,我想環遊世界。,traditional
15452,我沒意見。,traditional
15453,去你的辭典裡頭翻出這個句子。,traditional
15454,今天下雨了。,neutral
15455,我爸贊助我。,traditional
15456,把帽子戴上。,neutral
15457,我學兩種外語。,traditional
15458,我無語了。,traditional
15459,他大我一倍。,neutral
15460,我猜你喜歡這份工作。正相反，我恨死它了。,traditional
15461,我喜歡網球運動。,traditional
15462,我昨天收到你的信了。,neutral
15463,我護照丟了。,traditional
15464,這房子是空的。,traditional
15465,她需要幫助。,traditional
15466,麻煩您了。,traditional
15467,給您添麻煩了。,traditional
15468,他開車去往京都。,traditional
15469,我馬上到你那兒。,traditional
15470,他被罰了一萬日元。,traditional
15471,昨天天氣好，我們去遠足了。,traditional
15472,人們歡呼雀躍，擁戴他為國王。,traditional
15473,我會盡我所能幫你。,traditional
15474,我沒聽懂。,traditional
15475,這首歌讓我想起了我的童年。,traditional
15476,他總是牢騷滿腹。,traditional
15477,他本該來的。,traditional
15478,你在讀什麽？,traditional
15479,很快會有很多生日賀卡送到。,traditional
15480,我有很多書。,traditional
15481,我請他過來。,traditional
15482,我聽說過他，但是沒有親眼見到過。,traditional
15483,在我學生時代我癡迷於古典音樂。,traditional
15484,越吃越想吃。,neutral
15485,我還是沒有找到我要找的。,traditional
15486,她在跟我賭氣。,traditional
15487,我們需要他的幫忙。,traditional
15488,我愛我父親。,traditional
15489,最近沒見到湯姆。,traditional
15490,來我家玩。,traditional
15491,英語真難，不是嗎？,traditional
15492,今天沒風。,traditional
15493,我以你在我們的團隊為驕傲。,traditional
15494,她躺在桌子上。,neutral
15495,她真是個好姑娘。,traditional
15496,一年四季中我最喜歡春天了。,traditional
15497,我開始讀這本書。,traditional
15498,你永遠不會孤單。,traditional
15499,我本打算跟她一起去，可是我太忙了。,neutral
15500,他發現了這個秘密。,traditional
15501,有人說，瑪利亞跟個法國人走了。,traditional
15502,黃金的價格每天波動。,traditional
15503,你能幫我躲過警察嗎？,traditional
15504,我想很多人求助，但是至今沒有走運（遇到人幫我）。,traditional
15505,一起算還是分開算？,traditional
15506,今天咱各付各的。,neutral
15507,父親十分鐘之前回的家。,traditional
15508,我站在雪裡等了兩個小時的公交車。,traditional
15509,在愛與戰爭裡頭，什麽事都可能發生。,traditional
15510,他是個不錯的失敗者。,traditional
15511,你老是犯錯。,traditional
15512,無人懂我。,traditional
15513,那个年经人住在一座老房子里。,simplified
15514,我講那麼大聲，大家都應該聽到了。,traditional
15515,今天我誰都不想見。,traditional
15516,不要让他碰它。,simplified
15517,用德語怎麼說“再見”？,traditional
15518,我小的时候经常跟我父亲一起去钓鱼的。,simplified
15519,我跟他處得很好。,traditional
15520,这本书读来很有趣。,simplified
15521,我从来没看过那么漂亮的东西。,simplified
15522,这间房间是谁的？,simplified
15523,他说得很快。,simplified
15524,我要去给花园浇水了。,simplified
15525,这不是我找的。,neutral
15526,这些书是新的。,simplified
15527,我很穷。,neutral
15528,事实上，她撒慌了。,neutral
15529,你看起来有点累。,simplified
15530,我非常喜欢这些故事。,neutral
15531,我能帮忙吗？,simplified
15532,不是很辣。,neutral
15533,他很迷信的认为13是个不吉利的数字。,simplified
15534,马上给Tom打电话。,simplified
15535,做贡献的人越多，Tatoeba就越有用！,simplified
15536,她的头发很短。,simplified
15537,他想和我们一起来。,simplified
15538,我刚来到这里。,simplified
15539,我没有钱。,simplified
15540,你后天有空吗？,simplified
15541,昨天，我爸爸来帮我家装了空调。,simplified
15542,学校与企业见面会于12月26日按期举行。,simplified
15543,看到老师穿反了衣服，学生们偷偷笑了。,simplified
15544,现在对科学家们来说人脑还有很多奥秘。,simplified
15545,我開車送你回家吧。,traditional
15546,他一如往常，沒有剃鬍子就上班去了。,traditional
15547,工程的第一階段已經完成了。,traditional
15548,日本人一般都覺得自己的生活比以前過得好。,traditional
15549,我把爸爸送給我的手錶弄不見了。,traditional
15550,這張照片真漂亮！,traditional
15551,跟我一起玩嗎？,traditional
15552,我把這個留給你。,traditional
15553,我爸還沒回家。,traditional
15554,這幢紅屋頂的房子是湯姆的。,traditional
15555,因此他很生氣。,traditional
15556,我没意识到那个问题的重要性。,simplified
15557,他的音乐会非常好。,neutral
15558,她像她爸爸。,neutral
15559,猫在垫子上。,simplified
15560,我想用这块手表换一块便宜一点的。,simplified
15561,明天就开学了。,simplified
15562,他的头痛了。,neutral
15563,我们会住在英国。,simplified
15564,Paul刚才来过电话。,simplified
15565,他是两人之中最大的。,neutral
15566,有人被胁迫要杀这个政治家。,simplified
15567,他喜欢住在东京。,simplified
15568,它比东京小。,simplified
15569,你应该对她说出真相的。,simplified
15570,我买了二十四支铅笔。,simplified
15571,日本是个经常发生地震的国家。,simplified
15572,这个年轻的女士怀里抱着一个小孩。,simplified
15573,我可以20分钟内再给你打个电话吗？,simplified
15574,请帮我递下盐。,simplified
15575,你可以免费得到它。,simplified
15576,我在名古屋读的小学。,simplified
15577,你住在哪个房子里？,neutral
15578,你认识他的兄弟吗？,simplified
15579,英语在全世界都被使用。,simplified
15580,他们看到我就突然停止了说话。,simplified
15581,政府被多方批评。,simplified
15582,你今早为什么迟到了？,simplified
15583,你举了一个不好的例子。,simplified
15584,这个咖啡污渍很难去除。,simplified
15585,这个面包的保质期可以吗？,simplified
15586,这个对他来说很困难。,simplified
15587,Bob 和Tom 是兄弟。,neutral
15588,火花塞该换了。,simplified
15589,有人喊我的名字。,neutral
15590,昨天的天氣很冷，所以我戴了一頂帽子。,traditional
15591,地球每二十四小時就會繞軸自轉一周。,traditional
15592,我要去機場迎接我的家人。,traditional
15593,我的信用卡在地铁上被扒了。,simplified
15594,我们有多大把握他没骗我们？,simplified
15595,你玩游戏那么多，你不觉得是白白浪费时间吗？,simplified
