id,sentence,script_type,char_pinyin_pairs
12699,大家都說他是個好人。,traditional,大:da4|家:jia1|都:dou1|說:shuo1|他:ta1|是:shi4|個:ge4|好:hao3|人:ren2|。:
12700,別邊吃東西邊說話！,traditional,別:bie2|邊:bian1|吃:chi1|東:dong1|西:xi1|邊:bian1|說:shuo1|話:hua4|！:
12701,他来自杭州。,simplified,他:ta1|来:lai2|自:zi4|杭:hang2|州:zhou1|。:
12702,我昨天整天都在背英文字。,neutral,我:wo3|昨:zuo2|天:tian1|整:zheng3|天:tian1|都:dou1|在:zai4|背:bei4|英:ying1|文:wen2|字:zi4|。:
12703,不管你怎么做，结果都一样。,simplified,不:bu4|管:guan3|你:ni3|怎:zen3|么:me|做:zuo4|，:|结:jie2|果:guo3|都:dou1|一:yi1|样:yang4|。:
12704,我看書看得入神，聽不到你叫我。,traditional,我:wo3|看:kan4|書:shu1|看:kan4|得:de2|入:ru4|神:shen2|，:|聽:ting1|不:bu2|到:dao4|你:ni3|叫:jiao4|我:wo3|。:
12705,他把朋友借給他的錢全都花光了。,traditional,他:ta1|把:ba3|朋:peng2|友:you3|借:jie4|給:gei3|他:ta1|的:de|錢:qian2|全:quan2|都:dou1|花:hua1|光:guang1|了:le|。:
12706,Windows是世界上使用得最多的操作系统。,simplified,Windows:|是:shi4|世:shi4|界:jie4|上:shang4|使:shi3|用:yong4|得:de2|最:zui4|多:duo1|的:de|操:cao1|作:zuo4|系:xi4|统:tong3|。:
12707,一般我步行去学校。,simplified,一:yi4|般:ban1|我:wo3|步:bu4|行:xing2|去:qu4|学:xue2|校:xiao4|。:
12708,明天他会来吗？,simplified,明:ming2|天:tian1|他:ta1|会:hui4|来:lai2|吗:ma|？:
12709,现在我可以走了吗？,simplified,现:xian4|在:zai4|我:wo3|可:ke3|以:yi3|走:zou3|了:le|吗:ma|？:
12710,他买土地目的是要造房子。,simplified,他:ta1|买:mai3|土:tu3|地:di4|目:mu4|的:di4|是:shi4|要:yao4|造:zao4|房:fang2|子:zi|。:
12711,他孩子般的笑很迷人。,neutral,他:ta1|孩:hai2|子:zi|般:ban1|的:de|笑:xiao4|很:hen3|迷:mi2|人:ren2|。:
12712,他问我买了什么。,simplified,他:ta1|问:wen4|我:wo3|买:mai3|了:le|什:shen2|么:me|。:
12713,问题是 我没什么要跟他说的。,simplified,问:wen4|题:ti2|是:shi4|我:wo3|没:mei2|什:shen2|么:me|要:yao4|跟:gen1|他:ta1|说:shuo1|的:de|。:
12714,因为下雨，我们不能出去。,simplified,因:yin1|为:wei4|下:xia4|雨:yu3|，:|我:wo3|们:men|不:bu4|能:neng2|出:chu1|去:qu4|。:
12715,最近的火车站在哪里？,simplified,最:zui4|近:jin4|的:de|火:huo3|车:che1|站:zhan4|在:zai4|哪:na3|里:li3|？:
12716,你的手表比我的贵。,simplified,你:ni3|的:de|手:shou3|表:biao3|比:bi3|我:wo3|的:de|贵:gui4|。:
12717,法兰克高兴地等待着他晚上的约会。,simplified,法:fa3|兰:lan2|克:ke4|高:gao1|兴:xing4|地:di4|等:deng3|待:dai4|着:zhe|他:ta1|晚:wan3|上:shang4|的:de|约:yue1|会:hui4|。:
12718,一個字的意思是由上文下理決定的。,traditional,一:yi1|個:ge4|字:zi4|的:de|意:yi4|思:si|是:shi4|由:you2|上:shang4|文:wen2|下:xia4|理:li3|決:jue2|定:ding4|的:de|。:
12719,在一九五八年，巴西首次奪得了世界盃的冠軍。,traditional,在:zai4|一:yi1|九:jiu3|五:wu3|八:ba1|年:nian2|，:|巴:ba1|西:xi1|首:shou3|次:ci4|奪:duo2|得:de2|了:le|世:shi4|界:jie4|盃:bei1|的:de|冠:guan1|軍:jun1|。:
12720,我们等雨停吧。,simplified,我:wo3|们:men|等:deng3|雨:yu3|停:ting2|吧:ba|。:
12721,您最喜欢哪个季节？,simplified,您:nin2|最:zui4|喜:xi3|欢:huan1|哪:na3|个:ge|季:ji4|节:jie2|？:
12722,宝宝开始哭了。,neutral,宝:bao3|宝:bao3|开:kai1|始:shi3|哭:ku1|了:le|。:
12723,我的宝宝开始哭了，他想要吃奶。,neutral,我:wo3|的:de|宝:bao3|宝:bao3|开:kai1|始:shi3|哭:ku1|了:le|，:|他:ta1|想:xiang3|要:yao4|吃:chi1|奶:nai3|。:
12724,您多久见他一次？,simplified,您:nin2|多:duo1|久:jiu3|见:jian4|他:ta1|一:yi1|次:ci4|？:
12725,那件事在我們的腦海中還記憶猶新。,traditional,那:na4|件:jian4|事:shi4|在:zai4|我:wo3|們:men|的:de|腦:nao3|海:hai3|中:zhong1|還:hai2|記:ji4|憶:yi4|猶:you2|新:xin1|。:
12726,这个图书馆里禁止看书。,simplified,这:zhe4|个:ge|图:tu2|书:shu1|馆:guan3|里:li3|禁:jin4|止:zhi3|看:kan4|书:shu1|。:
12727,这是我的行李。,neutral,这:zhe4|是:shi4|我:wo3|的:de|行:xing2|李:li3|。:
12728,中國的漢字數量繁多，推行漢字簡化的目的，是把結構複雜的繁體字轉換成易學易記的簡體字，從而提高國民的識字水平。,traditional,中:zhong1|國:guo2|的:de|漢:han4|字:zi4|數:shu4|量:liang4|繁:fan2|多:duo1|，:|推:tui1|行:xing2|漢:han4|字:zi4|簡:jian3|化:hua4|的:de|目:mu4|的:di4|，:|是:shi4|把:ba3|結:jie2|構:gou4|複:fu4|雜:za2|的:de|繁:fan2|體:ti3|字:zi4|轉:zhuan3|換:huan4|成:cheng2|易:yi4|學:xue2|易:yi4|記:ji4|的:de|簡:jian3|體:ti3|字:zi4|，:|從:cong2|而:er2|提:ti2|高:gao1|國:guo2|民:min2|的:de|識:shi2|字:zi4|水:shui3|平:ping2|。:
12729,你知道那座電視塔有多高嗎？,traditional,你:ni3|知:zhi1|道:dao4|那:na4|座:zuo4|電:dian4|視:shi4|塔:ta3|有:you3|多:duo1|高:gao1|嗎:ma|？:
12730,我明天可以打電話給你嗎？,traditional,我:wo3|明:ming2|天:tian1|可:ke3|以:yi3|打:da3|電:dian4|話:hua4|給:gei3|你:ni3|嗎:ma|？:
12731,一個水分子是由兩個氫原子和一個氧原子組成的。,traditional,一:yi1|個:ge4|水:shui3|分:fen4|子:zi|是:shi4|由:you2|兩:liang3|個:ge4|氫:qing1|原:yuan2|子:zi|和:he2|一:yi1|個:ge4|氧:yang3|原:yuan2|子:zi|組:zu3|成:cheng2|的:de|。:
12732,他很少寫信給他的父母。,traditional,他:ta1|很:hen3|少:shao3|寫:xie3|信:xin4|給:gei3|他:ta1|的:de|父:fu4|母:mu3|。:
12733,我的書在哪裏？,traditional,我:wo3|的:de|書:shu1|在:zai4|哪:na3|裏:li3|？:
12734,你說得太快了，我聽不懂。你可以說慢一點嗎？,traditional,你:ni3|說:shuo1|得:de2|太:tai4|快:kuai4|了:le|，:|我:wo3|聽:ting1|不:bu4|懂:dong3|。:|你:ni3|可:ke3|以:yi3|說:shuo1|慢:man4|一:yi1|點:dian3|嗎:ma|？:
12735,我对她的大公无私怀有敬意。,neutral,我:wo3|对:dui4|她:ta1|的:de|大:da4|公:gong1|无:wu2|私:si1|怀:huai2|有:you3|敬:jing4|意:yi4|。:
12736,狗追猫，猫追鼠。,neutral,狗:gou3|追:zhui1|猫:mao1|，:|猫:mao1|追:zhui1|鼠:shu3|。:
12737,他有两只猫。,neutral,他:ta1|有:you3|两:liang3|只:zhi3|猫:mao1|。:
12738,她有两只猫。一只是白色的，另一只是黑色的。,neutral,她:ta1|有:you3|两:liang3|只:zhi3|猫:mao1|。:|一:yi1|只:zhi1|是:shi4|白:bai2|色:se4|的:de|，:|另:ling4|一:yi1|只:zhi1|是:shi4|黑:hei1|色:se4|的:de|。:
12739,看，厨房里有一只猫。,neutral,看:kan4|，:|厨:chu2|房:fang2|里:li3|有:you3|一:yi1|只:zhi1|猫:mao1|。:
12740,他是因为不想一个人待着。,simplified,他:ta1|是:shi4|因:yin1|为:wei4|不:bu4|想:xiang3|一:yi2|个:ge4|人:ren2|待:dai4|着:zhe|。:
12741,我寧願餓死，也不會去偷東西。,traditional,我:wo3|寧:ning2|願:yuan4|餓:e4|死:si3|，:|也:ye3|不:bu4|會:hui4|去:qu4|偷:tou1|東:dong1|西:xi1|。:
12742,奶茶在哪里？,neutral,奶:nai3|茶:cha2|在:zai4|哪:na3|里:li3|？:
12743,我一想到那些在戰爭中死去的人，心裏就感到一陣陣的悲痛。,traditional,我:wo3|一:yi1|想:xiang3|到:dao4|那:na4|些:xie1|在:zai4|戰:zhan4|爭:zheng1|中:zhong1|死:si3|去:qu4|的:de|人:ren2|，:|心:xin1|裏:li3|就:jiu4|感:gan3|到:dao4|一:yi1|陣:zhen4|陣:zhen4|的:de|悲:bei1|痛:tong4|。:
12744,你相信也好，不相信也好，對我來說沒有甚麼分別。,traditional,你:ni3|相:xiang1|信:xin4|也:ye3|好:hao3|，:|不:bu4|相:xiang1|信:xin4|也:ye3|好:hao3|，:|對:dui4|我:wo3|來:lai2|說:shuo1|沒:mei2|有:you3|甚:shen2|麼:me|分:fen1|別:bie2|。:
12745,這家店賣的是牛油、奶酪、砂糖之類的食品。,traditional,這:zhe4|家:jia1|店:dian4|賣:mai4|的:de|是:shi4|牛:niu2|油:you2|、:|奶:nai3|酪:lao4|、:|砂:sha1|糖:tang2|之:zhi1|類:lei4|的:de|食:shi2|品:pin3|。:
12746,在七世纪的时候，印度数学家婆罗摩笈多已经得到了方程x²-92y²=1的最小正整数解。,simplified,在:zai4|七:qi1|世:shi4|纪:ji4|的:de|时:shi2|候:hou4|，:|印:yin4|度:du4|数:shu4|学:xue2|家:jia1|婆:po2|罗:luo2|摩:mo2|笈:ji2|多:duo1|已:yi3|经:jing1|得:de2|到:dao4|了:le|方:fang1|程:cheng2|x:|²:|-:|92y:|²:|=:|1:|的:de|最:zui4|小:xiao3|正:zheng4|整:zheng3|数:shu4|解:jie3|。:
12747,真正的友谊比金钱更有价值。,simplified,真:zhen1|正:zheng4|的:de|友:you3|谊:yi4|比:bi3|金:jin1|钱:qian2|更:geng4|有:you3|价:jia4|值:zhi2|。:
12748,我的名字叫霍普金斯。,neutral,我:wo3|的:de|名:ming2|字:zi4|叫:jiao4|霍:huo4|普:pu3|金:jin1|斯:si1|。:
12749,法律面前人人平等。,neutral,法:fa3|律:lv4|面:mian4|前:qian2|人:ren2|人:ren2|平:ping2|等:deng3|。:
12750,列车已经出发。,simplified,列:lie4|车:che1|已:yi3|经:jing1|出:chu1|发:fa1|。:
12751,我想念他。,neutral,我:wo3|想:xiang3|念:nian4|他:ta1|。:
12752,你干得很好。,neutral,你:ni3|干:gan4|得:de2|很:hen3|好:hao3|。:
12753,这不可能。,neutral,这:zhe4|不:bu4|可:ke3|能:neng2|。:
12754,請不要回覆這封詐騙電郵，當然也不要點擊電郵裏的超連結。,traditional,請:qing3|不:bu2|要:yao4|回:hui2|覆:fu4|這:zhe4|封:feng1|詐:zha4|騙:pian4|電:dian4|郵:you2|，:|當:dang1|然:ran2|也:ye3|不:bu2|要:yao4|點:dian3|擊:ji1|電:dian4|郵:you2|裏:li3|的:de|超:chao1|連:lian2|結:jie2|。:
12755,那不勒斯是一個風景如畫的城市。,traditional,那:na4|不:bu4|勒:le4|斯:si1|是:shi4|一:yi1|個:ge4|風:feng1|景:jing3|如:ru2|畫:hua4|的:de|城:cheng2|市:shi4|。:
12756,他寫的文章只分析了問題的表面，所以他知道自己拿了全班最高分的時候，不禁感到十分驚訝。,traditional,他:ta1|寫:xie3|的:de|文:wen2|章:zhang1|只:zhi3|分:fen1|析:xi1|了:le|問:wen4|題:ti2|的:de|表:biao3|面:mian4|，:|所:suo3|以:yi3|他:ta1|知:zhi1|道:dao4|自:zi4|己:ji3|拿:na2|了:le|全:quan2|班:ban1|最:zui4|高:gao1|分:fen1|的:de|時:shi2|候:hou4|，:|不:bu4|禁:jin1|感:gan3|到:dao4|十:shi2|分:fen1|驚:jing1|訝:ya4|。:
12757,他是法国人。,simplified,他:ta1|是:shi4|法:fa3|国:guo2|人:ren2|。:
12758,日本的人口比英国多。,simplified,日:ri4|本:ben3|的:de|人:ren2|口:kou3|比:bi3|英:ying1|国:guo2|多:duo1|。:
12759,你喜不喜欢日本菜？,neutral,你:ni3|喜:xi3|不:bu4|喜:xi3|欢:huan1|日:ri4|本:ben3|菜:cai4|？:
12760,他是不是医生？,neutral,他:ta1|是:shi4|不:bu2|是:shi4|医:yi1|生:sheng1|？:
12761,我做夢也沒有想過會在這裏踫到你。,traditional,我:wo3|做:zuo4|夢:meng4|也:ye3|沒:mei2|有:you3|想:xiang3|過:guo4|會:hui4|在:zai4|這:zhe4|裏:li3|踫:peng4|到:dao4|你:ni3|。:
12762,國際間的紛爭一定要用和平的方法來解決。,traditional,國:guo2|際:ji4|間:jian1|的:de|紛:fen1|爭:zheng1|一:yi2|定:ding4|要:yao4|用:yong4|和:he2|平:ping2|的:de|方:fang1|法:fa3|來:lai2|解:jie3|決:jue2|。:
12763,你可以幫我更新這份資料嗎？,traditional,你:ni3|可:ke3|以:yi3|幫:bang1|我:wo3|更:geng1|新:xin1|這:zhe4|份:fen4|資:zi1|料:liao4|嗎:ma|？:
12764,如果沒有了陽光，我們就甚麼也看不見了。,traditional,如:ru2|果:guo3|沒:mei2|有:you3|了:le|陽:yang2|光:guang1|，:|我:wo3|們:men|就:jiu4|甚:shen2|麼:me|也:ye3|看:kan4|不:bu4|見:jian4|了:le|。:
12765,我們的學校被燒成了灰燼。,traditional,我:wo3|們:men|的:de|學:xue2|校:xiao4|被:bei4|燒:shao1|成:cheng2|了:le|灰:hui1|燼:jin4|。:
12766,那份數學功課比我想像中容易。,traditional,那:na4|份:fen4|數:shu4|學:xue2|功:gong1|課:ke4|比:bi3|我:wo3|想:xiang3|像:xiang4|中:zhong1|容:rong2|易:yi4|。:
12767,吸煙等於自殺。,traditional,吸:xi1|煙:yan1|等:deng3|於:yu2|自:zi4|殺:sha1|。:
12768,好好的想一想，看看能不能想起你昨晚是在誰家過夜的。,traditional,好:hao3|好:hao3|的:de|想:xiang3|一:yi1|想:xiang3|，:|看:kan4|看:kan4|能:neng2|不:bu4|能:neng2|想:xiang3|起:qi3|你:ni3|昨:zuo2|晚:wan3|是:shi4|在:zai4|誰:shui2|家:jia1|過:guo4|夜:ye4|的:de|。:
12769,很快地我們的派對就要準備完成了。,traditional,很:hen3|快:kuai4|地:di4|我:wo3|們:men|的:de|派:pai4|對:dui4|就:jiu4|要:yao4|準:zhun3|備:bei4|完:wan2|成:cheng2|了:le|。:
12770,請自由的使用這輛車,traditional,請:qing3|自:zi4|由:you2|的:de|使:shi3|用:yong4|這:zhe4|輛:liang4|車:che1
12771,若同期的人先一步完成銷售目標，我也不能再吊兒郎當了。,traditional,若:ruo4|同:tong2|期:qi1|的:de|人:ren2|先:xian1|一:yi1|步:bu4|完:wan2|成:cheng2|銷:xiao1|售:shou4|目:mu4|標:biao1|，:|我:wo3|也:ye3|不:bu4|能:neng2|再:zai4|吊:diao4|兒:er2|郎:lang2|當:dang1|了:le|。:
12772,他告訴你的並不是真的。,traditional,他:ta1|告:gao4|訴:su4|你:ni3|的:de|並:bing4|不:bu2|是:shi4|真:zhen1|的:de|。:
12773,他們說得並不是真的。,traditional,他:ta1|們:men|說:shuo1|得:de2|並:bing4|不:bu2|是:shi4|真:zhen1|的:de|。:
12774,這個設計不合我的興趣。,traditional,這:zhe4|個:ge4|設:she4|計:ji4|不:bu4|合:he2|我:wo3|的:de|興:xing4|趣:qu4|。:
12775,我不是稱職的母親。,traditional,我:wo3|不:bu2|是:shi4|稱:cheng1|職:zhi2|的:de|母:mu3|親:qin1|。:
12776,「能幫我一下嗎？ 」「我很樂意」,traditional,「:|能:neng2|幫:bang1|我:wo3|一:yi1|下:xia4|嗎:ma|？:|」:|「:|我:wo3|很:hen3|樂:le4|意:yi4|」:
12777,這麼大的夠用嗎？,traditional,這:zhe4|麼:me|大:da4|的:de|夠:gou4|用:yong4|嗎:ma|？:
12778,那孩子哭了一整天,neutral,那:na4|孩:hai2|子:zi|哭:ku1|了:le|一:yi1|整:zheng3|天:tian1
12779,不管哪國的機場諮詢台都是英文的。,traditional,不:bu4|管:guan3|哪:na3|國:guo2|的:de|機:ji1|場:chang3|諮:zi1|詢:xun2|台:tai2|都:dou1|是:shi4|英:ying1|文:wen2|的:de|。:
12780,這班列車往哪去？,traditional,這:zhe4|班:ban1|列:lie4|車:che1|往:wang3|哪:na3|去:qu4|？:
12781,我知道她在法國。,traditional,我:wo3|知:zhi1|道:dao4|她:ta1|在:zai4|法:fa3|國:guo2|。:
12782,他看起來很有錢。,traditional,他:ta1|看:kan4|起:qi3|來:lai2|很:hen3|有:you3|錢:qian2|。:
12783,對於我們來說愛惜河川是很重要的。,traditional,對:dui4|於:yu2|我:wo3|們:men|來:lai2|說:shuo1|愛:ai4|惜:xi1|河:he2|川:chuan1|是:shi4|很:hen3|重:zhong4|要:yao4|的:de|。:
12784,我也想要和John擁有同樣的吉他。,traditional,我:wo3|也:ye3|想:xiang3|要:yao4|和:he2|John:|擁:yong1|有:you3|同:tong2|樣:yang4|的:de|吉:ji2|他:ta1|。:
12785,我識趣的走開了。,traditional,我:wo3|識:shi2|趣:qu4|的:de|走:zou3|開:kai1|了:le|。:
12786,她對於我的做事方式一直有怨言。,traditional,她:ta1|對:dui4|於:yu2|我:wo3|的:de|做:zuo4|事:shi4|方:fang1|式:shi4|一:yi4|直:zhi2|有:you3|怨:yuan4|言:yan2|。:
12787,若她的姿態能再低一點就更完美了。,traditional,若:ruo4|她:ta1|的:de|姿:zi1|態:tai4|能:neng2|再:zai4|低:di1|一:yi1|點:dian3|就:jiu4|更:geng4|完:wan2|美:mei3|了:le|。:
12788,它隨時有可能發生。,traditional,它:ta1|隨:sui2|時:shi2|有:you3|可:ke3|能:neng2|發:fa1|生:sheng1|。:
12789,我在吃早餐前有運動的習慣。,traditional,我:wo3|在:zai4|吃:chi1|早:zao3|餐:can1|前:qian2|有:you3|運:yun4|動:dong4|的:de|習:xi2|慣:guan4|。:
12790,最近經常忘記東西，我是不是變笨了？,traditional,最:zui4|近:jin4|經:jing1|常:chang2|忘:wang4|記:ji4|東:dong1|西:xi1|，:|我:wo3|是:shi4|不:bu2|是:shi4|變:bian4|笨:ben4|了:le|？:
12791,再怎麼經驗老到的司機都會出錯。,traditional,再:zai4|怎:zen3|麼:me|經:jing1|驗:yan4|老:lao3|到:dao4|的:de|司:si1|機:ji1|都:dou1|會:hui4|出:chu1|錯:cuo4|。:
12792,若你住到的是大的旅館，就能使用他們的游泳池。,traditional,若:ruo4|你:ni3|住:zhu4|到:dao4|的:de|是:shi4|大:da4|的:de|旅:lv3|館:guan3|，:|就:jiu4|能:neng2|使:shi3|用:yong4|他:ta1|們:men|的:de|游:you2|泳:yong3|池:chi2|。:
12793,說的是一套，做的又是一套。,traditional,說:shuo1|的:de|是:shi4|一:yi1|套:tao4|，:|做:zuo4|的:de|又:you4|是:shi4|一:yi1|套:tao4|。:
12794,餓了嗎？,traditional,餓:e4|了:le|嗎:ma|？:
12795,能再說一次嗎？我沒聽清楚你的名字。,traditional,能:neng2|再:zai4|說:shuo1|一:yi1|次:ci4|嗎:ma|？:|我:wo3|沒:mei2|聽:ting1|清:qing1|楚:chu3|你:ni3|的:de|名:ming2|字:zi4|。:
12796,這個班只有三個女生。,traditional,這:zhe4|個:ge4|班:ban1|只:zhi3|有:you3|三:san1|個:ge4|女:nv3|生:sheng1|。:
12797,這問題你應該去和律師討論。,traditional,這:zhe4|問:wen4|題:ti2|你:ni3|應:ying1|該:gai1|去:qu4|和:he2|律:lv4|師:shi1|討:tao3|論:lun4|。:
12798,昨天打電話的時候，她應該到家了。,traditional,昨:zuo2|天:tian1|打:da3|電:dian4|話:hua4|的:de|時:shi2|候:hou4|，:|她:ta1|應:ying1|該:gai1|到:dao4|家:jia1|了:le|。:
12799,我從沒看過她穿牛仔褲。,traditional,我:wo3|從:cong2|沒:mei2|看:kan4|過:guo4|她:ta1|穿:chuan1|牛:niu2|仔:zai3|褲:ku4|。:
12800,吃晚飯的時間到了。,traditional,吃:chi1|晚:wan3|飯:fan4|的:de|時:shi2|間:jian1|到:dao4|了:le|。:
12801,我的話傷了他的自尊心。,traditional,我:wo3|的:de|話:hua4|傷:shang1|了:le|他:ta1|的:de|自:zi4|尊:zun1|心:xin1|。:
12802,我年輕的時候常常去打棒球。,traditional,我:wo3|年:nian2|輕:qing1|的:de|時:shi2|候:hou4|常:chang2|常:chang2|去:qu4|打:da3|棒:bang4|球:qiu2|。:
12803,誰都知道地球是圓的。,traditional,誰:shui2|都:dou1|知:zhi1|道:dao4|地:di4|球:qiu2|是:shi4|圓:yuan2|的:de|。:
12804,開摩托車不戴頭盔是很危險的。,traditional,開:kai1|摩:mo2|托:tuo1|車:che1|不:bu4|戴:dai4|頭:tou2|盔:kui1|是:shi4|很:hen3|危:wei1|險:xian3|的:de|。:
12805,我想在爸爸媽媽回來之前把房子打掃乾淨。,traditional,我:wo3|想:xiang3|在:zai4|爸:ba4|爸:ba4|媽:ma1|媽:ma1|回:hui2|來:lai2|之:zhi1|前:qian2|把:ba3|房:fang2|子:zi|打:da3|掃:sao3|乾:qian2|淨:jing4|。:
12806,他在银行工作。,simplified,他:ta1|在:zai4|银:yin2|行:hang2|工:gong1|作:zuo4|。:
12807,实在抱歉，老板在睡觉。请您明天再来。,simplified,实:shi2|在:zai4|抱:bao4|歉:qian4|，:|老:lao3|板:ban3|在:zai4|睡:shui4|觉:jiao4|。:|请:qing3|您:nin2|明:ming2|天:tian1|再:zai4|来:lai2|。:
12808,你醒來的時候，發現自己躺在一個洞穴的石地上。四周一片漆黑，只有從上面透下來的一點光。你隱約能看見有幾個通往外面的洞。現在該怎麼做呢？,traditional,你:ni3|醒:xing3|來:lai2|的:de|時:shi2|候:hou4|，:|發:fa1|現:xian4|自:zi4|己:ji3|躺:tang3|在:zai4|一:yi1|個:ge4|洞:dong4|穴:xue2|的:de|石:shi2|地:di4|上:shang4|。:|四:si4|周:zhou1|一:yi1|片:pian4|漆:qi1|黑:hei1|，:|只:zhi3|有:you3|從:cong2|上:shang4|面:mian4|透:tou4|下:xia4|來:lai2|的:de|一:yi1|點:dian3|光:guang1|。:|你:ni3|隱:yin3|約:yue1|能:neng2|看:kan4|見:jian4|有:you3|幾:ji3|個:ge4|通:tong1|往:wang3|外:wai4|面:mian4|的:de|洞:dong4|。:|現:xian4|在:zai4|該:gai1|怎:zen3|麼:me|做:zuo4|呢:ne|？:
12809,他母親要他把浴室打掃乾淨。,traditional,他:ta1|母:mu3|親:qin1|要:yao4|他:ta1|把:ba3|浴:yu4|室:shi4|打:da3|掃:sao3|乾:qian2|淨:jing4|。:
12810,年輕人對金錢總是沒甚麼興趣，他也不例外。,traditional,年:nian2|輕:qing1|人:ren2|對:dui4|金:jin1|錢:qian2|總:zong3|是:shi4|沒:mei2|甚:shen2|麼:me|興:xing4|趣:qu4|，:|他:ta1|也:ye3|不:bu4|例:li4|外:wai4|。:
12811,她說她每天早上都會刷牙。,traditional,她:ta1|說:shuo1|她:ta1|每:mei3|天:tian1|早:zao3|上:shang4|都:dou1|會:hui4|刷:shua1|牙:ya2|。:
12812,他们四十分钟之后下课。,simplified,他:ta1|们:men|四:si4|十:shi2|分:fen1|钟:zhong1|之:zhi1|后:hou4|下:xia4|课:ke4|。:
12813,鸟的家在森林，鱼的家在江河，蜜蜂的家在花朵，小朋友的家在中国。 我们从小爱祖国， 就像鸟儿爱森林，就像鱼儿爱江河，就像蜜蜂爱花朵。,simplified,鸟:niao3|的:de|家:jia1|在:zai4|森:sen1|林:lin2|，:|鱼:yu2|的:de|家:jia1|在:zai4|江:jiang1|河:he2|，:|蜜:mi4|蜂:feng1|的:de|家:jia1|在:zai4|花:hua1|朵:duo3|，:|小:xiao3|朋:peng2|友:you3|的:de|家:jia1|在:zai4|中:zhong1|国:guo2|。:|我:wo3|们:men|从:cong2|小:xiao3|爱:ai4|祖:zu3|国:guo2|，:|就:jiu4|像:xiang4|鸟:niao3|儿:er2|爱:ai4|森:sen1|林:lin2|，:|就:jiu4|像:xiang4|鱼:yu2|儿:er2|爱:ai4|江:jiang1|河:he2|，:|就:jiu4|像:xiang4|蜜:mi4|蜂:feng1|爱:ai4|花:hua1|朵:duo3|。:
12814,他的武功已经达到了出神入化的境界。,simplified,他:ta1|的:de|武:wu3|功:gong1|已:yi3|经:jing1|达:da2|到:dao4|了:le|出:chu1|神:shen2|入:ru4|化:hua4|的:de|境:jing4|界:jie4|。:
12815,他找到我的自行车。,simplified,他:ta1|找:zhao3|到:dao4|我:wo3|的:de|自:zi4|行:xing2|车:che1|。:
12816,那個地方我去過數十次了。,traditional,那:na4|個:ge4|地:di4|方:fang1|我:wo3|去:qu4|過:guo4|數:shu4|十:shi2|次:ci4|了:le|。:
12817,花瓶被摔成了碎片。,neutral,花:hua1|瓶:ping2|被:bei4|摔:shuai1|成:cheng2|了:le|碎:sui4|片:pian4|。:
12818,有些蘋果從樹上掉了下來。,traditional,有:you3|些:xie1|蘋:ping2|果:guo3|從:cong2|樹:shu4|上:shang4|掉:diao4|了:le|下:xia4|來:lai2|。:
12819,他会说十种语言。,simplified,他:ta1|会:hui4|说:shuo1|十:shi2|种:zhong3|语:yu3|言:yan2|。:
12820,質數就像人生，它們完全是合邏輯的，但就算你花多少時間來思考，也不能找到它們背後的規律。,traditional,質:zhi4|數:shu4|就:jiu4|像:xiang4|人:ren2|生:sheng1|，:|它:ta1|們:men|完:wan2|全:quan2|是:shi4|合:he2|邏:luo2|輯:ji2|的:de|，:|但:dan4|就:jiu4|算:suan4|你:ni3|花:hua1|多:duo1|少:shao3|時:shi2|間:jian1|來:lai2|思:si1|考:kao3|，:|也:ye3|不:bu4|能:neng2|找:zhao3|到:dao4|它:ta1|們:men|背:bei4|後:hou4|的:de|規:gui1|律:lv4|。:
12821,過了一會兒，小黑兔就坐了下來，臉上的神情十分哀傷。,traditional,過:guo4|了:le|一:yi1|會:hui4|兒:er2|，:|小:xiao3|黑:hei1|兔:tu4|就:jiu4|坐:zuo4|了:le|下:xia4|來:lai2|，:|臉:lian3|上:shang4|的:de|神:shen2|情:qing2|十:shi2|分:fen1|哀:ai1|傷:shang1|。:
12822,她年輕的時候說不定是個美女。,traditional,她:ta1|年:nian2|輕:qing1|的:de|時:shi2|候:hou4|說:shuo1|不:bu4|定:ding4|是:shi4|個:ge4|美:mei3|女:nv3|。:
12823,「他們又要罷工了嗎？」「恐怕是的。」,traditional,「:|他:ta1|們:men|又:you4|要:yao4|罷:ba4|工:gong1|了:le|嗎:ma|？:|」:|「:|恐:kong3|怕:pa4|是:shi4|的:de|。:|」:
12824,槍不會殺人。人才會殺人。,traditional,槍:qiang1|不:bu4|會:hui4|殺:sha1|人:ren2|。:|人:ren2|才:cai2|會:hui4|殺:sha1|人:ren2|。:
12825,說起瑪莉，我已經有很久沒見過她了。,traditional,說:shuo1|起:qi3|瑪:ma3|莉:li4|，:|我:wo3|已:yi3|經:jing1|有:you3|很:hen3|久:jiu3|沒:mei2|見:jian4|過:guo4|她:ta1|了:le|。:
12826,狄馬一晚和二十五個男人睡了覺，然後就把他們殺掉了。,traditional,狄:di2|馬:ma3|一:yi1|晚:wan3|和:he2|二:er4|十:shi2|五:wu3|個:ge4|男:nan2|人:ren2|睡:shui4|了:le|覺:jue2|，:|然:ran2|後:hou4|就:jiu4|把:ba3|他:ta1|們:men|殺:sha1|掉:diao4|了:le|。:
