id,char,codepoint,pinyins_tone3,pinyins_display,gloss_en,examples
4403,弲,U+5F32,xuan1|yuan1,xuān|yuān,,
4404,弳,U+5F33,jing4,jìng,radian (math.),弳度
4405,弴,U+5F34,diao1,diāo,,
4406,張,U+5F35,zhang1|zhang4,zhāng|zhàng,surname Zhang,七嘴八張|不事張揚|主張
4407,弶,U+5F36,jiang4,jiàng,snare,
4408,強,U+5F37,qiang2|jiang4|qiang3,qiáng|jiàng|qiǎng,surname Qiang,不畏強暴|不畏強權|世界強國
4409,弸,U+5F38,peng2|peng1,péng|pēng,strong bow,
4410,弹,U+5F39,dan4|tan2,dàn|tán,crossball,Q弹|一弹指顷|中子弹
4411,强,U+5F3A,qiang2|jiang4|qiang3,qiáng|jiàng|qiǎng,surname Qiang,不畏强暴|不畏强权|世界强国
4412,弻,U+5F3B,bi4,bì,,
4413,弼,U+5F3C,bi4,bì,to assist,王弼|輔弼|辅弼
4414,弽,U+5F3D,she4,shè,,
4415,弾,U+5F3E,dan4,dàn,Japanese variant of 彈|弹,
4416,弿,U+5F3F,jian3,jiǎn,,
4417,彀,U+5F40,gou4|kou1,gòu|kōu,to draw a bow to the full,彀中|能彀
4418,彁,U+5F41,ge1,gē,,
4419,彂,U+5F42,fa1,fā,,
4420,彃,U+5F43,bi4,bì,,
4421,彄,U+5F44,kou1,kōu,nock at end of bow,
4422,彅,U+5F45,jian3,jiǎn,,
4423,彆,U+5F46,bie4,biè,"to make sb change their ways, opinions etc",彆嘴|彆扭|鬧彆扭
4424,彇,U+5F47,xiao1,xiāo,,
4425,彈,U+5F48,dan4|tan2,dàn|tán,crossball,Q彈|一彈指頃|中子彈
4426,彉,U+5F49,guo1,guō,variant of 彍|𭚦[guo1],
4427,彊,U+5F4A,jiang4|qiang2|qiang3|jiang1,jiàng|qiáng|qiǎng|jiāng,variant of 強|强[jiang4],
4428,彋,U+5F4B,hong2,hóng,,
4429,彌,U+5F4C,mi2|mi3|ni2,mí|mǐ|ní,full,安魂彌撒|彌勒|彌勒佛
4430,彍,U+5F4D,guo1,guō,(literary) to draw one's bow to the full,
4431,彎,U+5F4E,wan1,wān,to bend,U形轉彎|七彎八拐|存水彎
4432,彏,U+5F4F,jue2,jué,,
4433,彐,U+5F50,ji4,jì,pig snout (Kangxi radical 58),
4434,彑,U+5F51,ji4,jì,variant of 彐[ji4],
4435,归,U+5F52,gui1,guī,surname Gui,一命归天|一命归西|一命归阴
4436,当,U+5F53,dang1|dang4,dāng|dàng,(onom.) dong,一夫当关，万夫莫开|一马当先|丁零当啷
4437,彔,U+5F54,lu4,lù,to carve wood,
4438,录,U+5F55,lu4,lù,to carve wood,世界纪录|侧录|伪纪录片
4439,彖,U+5F56,tuan4|shi3,tuàn|shǐ,to foretell the future using the trigrams of the Book of Changes 易經|易经,彖辭|彖辞
4440,彗,U+5F57,hui4|sui4,huì|suì,broom,哈雷彗星|彗星|彗核
4441,彘,U+5F58,zhi4,zhì,swine,殺彘教子|杀彘教子
4442,彙,U+5F59,hui4,huì,class,交彙|基本詞彙|字彙
4443,彚,U+5F5A,hui4,huì,,
4444,彛,U+5F5B,yi2,yí,variant of 彝[yi2],
4445,彜,U+5F5C,yi2,yí,,
4446,彝,U+5F5D,yi2,yí,Yi ethnic group,元江哈尼族彝族傣族自治縣|元江哈尼族彝族傣族自治县|南澗彝族自治縣
4447,彞,U+5F5E,yi2,yí,,
4448,彟,U+5F5F,yue1,yuē,see 武士彠|武士彟[Wu3 Shi4 huo4],武士彟
4449,彠,U+5F60,yue1,yuē,see 武士彠|武士彟[Wu3 Shi4 huo4],武士彠
4450,彡,U+5F61,shan1|xian3,shān|xiǎn,"""bristle"" radical in Chinese characters (Kangxi radical 59)",
4451,形,U+5F62,xing2,xíng,to appear,U形轉彎|U形转弯|七角形
4452,彣,U+5F63,wen2,wén,,
4453,彤,U+5F64,tong2,tóng,surname Tong,紅彤彤|红彤彤
4454,彥,U+5F65,yan4,yàn,accomplished,巴彥|巴彥浩特|巴彥浩特鎮
4455,彦,U+5F66,yan4|pan2,yàn|pán,accomplished,巴彦|巴彦浩特|巴彦浩特镇
4456,彧,U+5F67,yu4,yù,accomplished,荀彧
4457,彨,U+5F68,chi1,chī,variant of 螭[chi1],
4458,彩,U+5F69,cai3,cǎi,(bright) color,七彩|不光彩|中彩
4459,彪,U+5F6A,biao1,biāo,(literary) tiger stripes; (by extension) ornate and brightly colored; (by synecdoche) young tiger; (fig.) strong; stalwart,彪休|彪個子|彪个子
4460,彫,U+5F6B,diao1,diāo,"variant of 雕[diao1], to engrave",
4461,彬,U+5F6C,bin1|ban1,bīn|bān,urbane; well-bred; cultivated,中山成彬|彬彬|彬彬君子
4462,彭,U+5F6D,peng2|pang2|bang1|peng1,péng|páng|bāng|pēng,surname Peng,加彭|岑彭|彭亨
4463,彮,U+5F6E,yong3,yǒng,,
4464,彯,U+5F6F,piao1|piao4|miao3,piāo|piào|miǎo,,
4465,彰,U+5F70,zhang1,zhāng,clear,彰化|彰化市|彰化縣
4466,影,U+5F71,ying3,yǐng,picture,一去無影蹤|一去无影踪|不見一點蹤影
4467,彲,U+5F72,chi1,chī,variant of 螭[chi1],
4468,彳,U+5F73,chi4|fu2,chì|fú,step with the left foot (Kangxi radical 60),彳亍
4469,彴,U+5F74,zhuo2|bo2,zhuó|bó,bridge,
4470,彵,U+5F75,tuo3|yi2,tuǒ|yí,,
4471,彶,U+5F76,ji2,jí,,
4472,彷,U+5F77,pang2|fang3|fang2,páng|fǎng|fáng,used in 彷彿|仿佛[fang3 fu2],彷似|彷佛|彷彿
4473,彸,U+5F78,zhong1,zhōng,"restless, agitated",征彸
4474,役,U+5F79,yi4,yì,forced labor,一身兩役|一身两役|不列顛戰役
4475,彺,U+5F7A,wang2,wáng,,
4476,彻,U+5F7B,che4,chè,thorough,侵彻|克赖斯特彻奇|冏彻
4477,彼,U+5F7C,bi3,bǐ,that,不分彼此|卡特彼勒公司|厚此薄彼
4478,彽,U+5F7D,di1,dī,go to and fro,
4479,彾,U+5F7E,ling2|ling3,líng|lǐng,,
4480,彿,U+5F7F,fu2,fú,used in 彷彿|仿佛[fang3 fu2],彷彿|彿雷澤爾
4481,往,U+5F80,wang3|wang4,wǎng|wàng,to go (in a direction),一反往常|一如往常|一如既往
4482,征,U+5F81,zheng1,zhēng,journey,中东呼吸综合征|仪征|仪征市
4483,徂,U+5F82,cu2,cú,to go,
4484,徃,U+5F83,wang3,wǎng,old variant of 往[wang3],
4485,径,U+5F84,jing4,jìng,footpath,一径|中径|仄径
4486,待,U+5F85,dai4|dai1,dài|dāi,to stay; to remain,不待說|不待说|亟待
4487,徆,U+5F86,xi1,xī,,
4488,徇,U+5F87,xun4,xùn,to give in to,徇情|徇情枉法|徇私枉法
4489,很,U+5F88,hen3,hěn,very; quite,不很|很是|得很
4490,徉,U+5F89,yang2,yáng,to walk back and forth,彷徉|徜徉
4491,徊,U+5F8A,huai2|hui2,huái|huí,used in 徘徊[pai2 huai2],徘徊
4492,律,U+5F8B,lv4,lǜ,surname Lü,一律|七律|七言律詩
4493,後,U+5F8C,hou4,hòu,back,95後|三思而後行|不孝有三，無後為大
4494,徍,U+5F8D,wang3|wa1,wǎng|wā,,
4495,徎,U+5F8E,cheng3|zheng4,chěng|zhèng,,
4496,徏,U+5F8F,zhi4,zhì,,
4497,徐,U+5F90,xu2,xú,surname Xu,不疾不徐|半老徐娘|徐世昌
4498,徑,U+5F91,jing4|jing1,jìng|jīng,footpath,一徑|中徑|仄徑
4499,徒,U+5F92,tu2,tú,surname Tu,不逞之徒|丹徒|丹徒區
4500,従,U+5F93,cong2,cóng,old variant of 從|从[cong2],
4501,徔,U+5F94,zhi,zhi,,
4502,徕,U+5F95,lai2|lai4,lái|lài,used in 招徠|招徕[zhao1 lai2],招徕
4503,徖,U+5F96,cong2,cóng,,
4504,得,U+5F97,de2|de|dei3,dé|de|děi,to obtain,一人得道，雞犬升天|一人得道，鸡犬升天|一舉兩得
4505,徘,U+5F98,pai2,pái,used in 徘徊[pai2 huai2],徘徊
4506,徙,U+5F99,xi3|si1,xǐ|sī,(literary) to change one's residence,曲突徙薪|民族大遷徙|民族大迁徙
4507,徚,U+5F9A,dong1,dōng,,
4508,徛,U+5F9B,ji4,jì,,
4509,徜,U+5F9C,chang2,cháng,sit cross-legged,徜徉
4510,徝,U+5F9D,zhi4,zhì,,
4511,從,U+5F9E,cong2|zong4|zong1|cong1|zong3,cóng|zòng|zōng|cōng|zǒng,surname Cong,一部二十四史，不知從何說起|三從四德|主從
4512,徟,U+5F9F,zhou1,zhōu,,
4513,徠,U+5FA0,lai2|lai4,lái|lài,used in 招徠|招徕[zhao1 lai2],招徠
4514,御,U+5FA1,yu4|ya4,yù|yà,(bound form) imperial; royal,兄弟阋于墙，外御其侮|太平御覽|太平御览
4515,徢,U+5FA2,xie4,xiè,,
4516,徣,U+5FA3,jie4,jiè,,
4517,徤,U+5FA4,jian4,jiàn,,
4518,徥,U+5FA5,shi4|ti3,shì|tǐ,,
4519,徦,U+5FA6,jia3|xia2,jiǎ|xiá,,
4520,徧,U+5FA7,bian4|pian2|pian1,biàn|pián|piān,variant of 遍[bian4],
4521,徨,U+5FA8,huang2,huáng,used in 彷徨[pang2 huang2],彷徨
4522,復,U+5FA9,fu4,fù,to go and return,一元復始|一去不復返|丁巳復辟
4523,循,U+5FAA,xun2,xún,to follow,依循|冠脈循環|冠脉循环
4524,徫,U+5FAB,wei3,wěi,,
4525,徬,U+5FAC,pang2|bang4,páng|bàng,irresolute,
4526,徭,U+5FAD,yao2,yáo,compulsory service,徭役
4527,微,U+5FAE,wei1,wēi,surname Wei,一線微光|一线微光|中微子
4528,徯,U+5FAF,xi1|xi2,xī|xí,footpath,徯徑|徯径
4529,徰,U+5FB0,zheng1,zhēng,,
4530,徱,U+5FB1,piao4,piào,,
4531,徲,U+5FB2,ti2|chi2,tí|chí,,
4532,徳,U+5FB3,de2,dé,Japanese variant of 德[de2],
4533,徴,U+5FB4,zheng1,zhēng,Japanese variant of 徵|征,
4534,徵,U+5FB5,zheng1|zhi3|cheng2,zhēng|zhǐ|chéng,to invite,中東呼吸綜合徵|儀徵|儀徵市
4535,徶,U+5FB6,bie2,bié,,
4536,德,U+5FB7,de2,dé,Germany,一心一德|三從四德|三从四德
4537,徸,U+5FB8,chong1|zhong1|zhong3,chōng|zhōng|zhǒng,,
4538,徹,U+5FB9,che4,chè,thorough,侵徹|克賴斯特徹奇|冏徹
4539,徺,U+5FBA,jiao3,jiǎo,,
4540,徻,U+5FBB,hui4,huì,a wide room,
4541,徼,U+5FBC,jiao3|jiao4|jiao1|yao1,jiǎo|jiào|jiāo|yāo,by mere luck,徼倖|徼幸
4542,徽,U+5FBD,hui1,huī,old variant of 徽[hui1],五環會徽|五环会徽|嗣徽
4543,徾,U+5FBE,mei2,méi,,
4544,徿,U+5FBF,long4|long3,lòng|lǒng,,
4545,忀,U+5FC0,xiang1|rang3,xiāng|rǎng,to stroll,
4546,忁,U+5FC1,bao4,bào,,
4547,忂,U+5FC2,qu2|ju4,qú|jù,old variant of 躣[qu2],
4548,心,U+5FC3,xin1,xīn,heart,一不小心|一心|一心一德
4549,忄,U+5FC4,xin,xin,Kangxi radical 61 (心) as a vertical side element,
4550,必,U+5FC5,bi4,bì,certainly,三人行，則必有我師|三人行，则必有我师|三人行，必有我師
4551,忆,U+5FC6,yi4,yì,to recollect,回忆|回忆录|失忆
4552,忇,U+5FC7,le4,lè,,
4553,忈,U+5FC8,ren2,rén,,
4554,忉,U+5FC9,dao1,dāo,grieved,
4555,忊,U+5FCA,ding4|ting4,dìng|tìng,,
4556,忋,U+5FCB,gai3,gǎi,,
4557,忌,U+5FCC,ji4,jì,to be jealous of,切忌|外寬內忌|外宽内忌
4558,忍,U+5FCD,ren3|ren4,rěn|rèn,to bear,不堪忍受|不忍|不忍心
4559,忎,U+5FCE,ren2,rén,,
4560,忏,U+5FCF,chan4|qian3|qian1,chàn|qiǎn|qiān,(bound form) to feel remorse,忏悔|拜忏
4561,忐,U+5FD0,tan3|keng3,tǎn|kěng,used in 忐忑[tan3 te4],忐忑|忐忑不安
4562,忑,U+5FD1,te4|dao3,tè|dǎo,used in 忐忑[tan3 te4],忐忑|忐忑不安
4563,忒,U+5FD2,te4|tui1|tei1,tè|tuī|tēi,to err,赫卡忒|阿佛洛狄忒|阿弗洛狄忒
4564,忓,U+5FD3,gan1|han4,gān|hàn,,
4565,忔,U+5FD4,qi4|yi4,qì|yì,,
4566,忕,U+5FD5,shi4|tai4,shì|tài,accustomed to,
4567,忖,U+5FD6,cun3,cǔn,to ponder,忖度|忖思|忖量
4568,志,U+5FD7,zhi4,zhì,aspiration,三國志|三国志|不以词害志
4569,忘,U+5FD8,wang4|wang2,wàng|wáng,to forget,健忘|健忘症|備忘錄
4570,忙,U+5FD9,mang2,máng,busy,不忙|不慌不忙|事務繁忙
4571,忚,U+5FDA,xi1|lie3,xī|liě,,
4572,忛,U+5FDB,fan1,fān,erroneous variant of 帆[fan1],
4573,応,U+5FDC,ying1,yīng,Japanese variant of 應|应,
4574,忝,U+5FDD,tian3,tiǎn,to shame,
4575,忞,U+5FDE,min2|wen3,mín|wěn,to encourage oneself,柯劭忞
4576,忟,U+5FDF,wen3,wěn,,
4577,忠,U+5FE0,zhong1,zhōng,loyal; devoted; faithful,吳忠|吴忠|吳忠市
4578,忡,U+5FE1,chong1,chōng,grieved,怔忡|憂心忡忡|忧心忡忡
4579,忢,U+5FE2,wu4,wù,,
4580,忣,U+5FE3,ji2,jí,,
4581,忤,U+5FE4,wu3|wu4,wǔ|wù,disobedient,乖忤|忤逆|違忤
4582,忥,U+5FE5,xi4,xì,,
4583,忦,U+5FE6,jia2,jiá,,
4584,忧,U+5FE7,you1|you4,yōu|yòu,to worry,一则以喜，一则以忧|丁忧|人无远虑，必有近忧
4585,忨,U+5FE8,wan4|wan2,wàn|wán,,
4586,忩,U+5FE9,cong1,cōng,,
4587,忪,U+5FEA,song1|zhong1,sōng|zhōng,used in 惺忪[xing1 song1],怔忪|惺忪|睡眼惺忪
4588,快,U+5FEB,kuai4,kuài,rapid,一吐為快|一吐为快|不吐不快
4589,忬,U+5FEC,yu4|shu1,yù|shū,old variant of 舒[shu1],
4590,忭,U+5FED,bian4,biàn,(literary) happy; delighted,忭舞|歡忭|欢忭
4591,忮,U+5FEE,zhi4|qi2,zhì|qí,(literary) (bound form) jealous,不忮不求
4592,忯,U+5FEF,qi2|shi4,qí|shì,,
4593,忰,U+5FF0,cui4,cuì,,
4594,忱,U+5FF1,chen2|dan4,chén|dàn,sincerity,李忱|滿腔熱忱|满腔热忱
4595,忲,U+5FF2,tai4,tài,variant of 忕[tai4],
4596,忳,U+5FF3,tun2|zhun1|dun4,tún|zhūn|dùn,,
4597,忴,U+5FF4,qian2|qin2,qián|qín,,
4598,念,U+5FF5,nian4,niàn,"variant of 念[nian4], to read aloud",一念之差|一閃念|一闪念
4599,忶,U+5FF6,hun2,hún,,
4600,忷,U+5FF7,xiong1,xiōng,,
4601,忸,U+5FF8,niu3,niǔ,used in 忸怩[niu3 ni2],忸忸怩怩|忸怩|顏厚有忸怩
4602,忹,U+5FF9,kuang2|wang3,kuáng|wǎng,,
4603,忺,U+5FFA,xian1,xiān,(literary) to want; to desire,
4604,忻,U+5FFB,xin1,xīn,happy,忻城|忻城縣|忻城县
4605,忼,U+5FFC,kang1|hang1|hang4,kāng|hāng|hàng,,
4606,忽,U+5FFD,hu1,hū,surname Hu,倏忽|忽上忽下|忽冷忽熱
4607,忾,U+5FFE,kai4|qi4,kài|qì,anger,同仇敌忾|敌忾
4608,忿,U+5FFF,fen4,fèn,anger,不忿|忿忿|忿忿不平
4609,怀,U+6000,huai2|fu4,huái|fù,surname Huai,不怀好意|仁怀|仁怀市
4610,态,U+6001,tai4,tài,(bound form),一反常态|三江生态旅游区|不在状态
4611,怂,U+6002,song3,sǒng,variant of 㞞|𪨊[song2],怂恿
4612,怃,U+6003,wu3,wǔ,(literary) to have tender affection for,
4613,怄,U+6004,ou4,òu,to annoy,怄气
4614,怅,U+6005,chang4,chàng,regretful; upset; despairing; depressed,怅怅然|怅惘|怅然
4615,怆,U+6006,chuang4,chuàng,mournful,悲怆|凄怆
4616,怇,U+6007,ju4,jù,,
4617,怈,U+6008,yi4,yì,,
4618,怉,U+6009,bao3|bao4,bǎo|bào,,
4619,怊,U+600A,chao1,chāo,(literary) sad; sorrowful; disappointed; frustrated,
4620,怋,U+600B,min2|men2,mín|mén,,
4621,怌,U+600C,pei1,pēi,,
4622,怍,U+600D,zuo4|zha4,zuò|zhà,ashamed,不愧不怍|愧怍
4623,怎,U+600E,zen3,zěn,how,不怎麼|不怎么|不怎麼樣
4624,怏,U+600F,yang4|yang1,yàng|yāng,discontented,
4625,怐,U+6010,ju4|kou4,jù|kòu,,
4626,怑,U+6011,ban4,bàn,,
4627,怒,U+6012,nu4,nù,anger,不怒而威|勃然大怒|動怒
4628,怓,U+6013,nao2|niu2,náo|niú,,
4629,怔,U+6014,zheng1|zheng4,zhēng|zhèng,(bound form) startled; terrified; panic-stricken,怔住|怔忡|怔忪
4630,怕,U+6015,pa4|bo2,pà|bó,surname Pa,一年被蛇咬，十年怕井繩|一年被蛇咬，十年怕井绳|一朝被蛇咬，十年怕井繩
4631,怖,U+6016,bu4,bù,terror,基地恐怖組織|基地恐怖组织|廣場恐怖症
4632,怗,U+6017,tie1|zhan1,tiē|zhān,peaceful,
4633,怘,U+6018,hu4|gu4,hù|gù,,
4634,怙,U+6019,hu4|tie1,hù|tiē,to rely on,失怙|怙恃|怙惡不悛
4635,怚,U+601A,ju4|qu1|cu1|zu1,jù|qū|cū|zū,"dull, stupid, suspicious",
4636,怛,U+601B,da2|dan4,dá|dàn,distressed,怛羅斯之戰|怛罗斯之战|惻怛之心
4637,怜,U+601C,lian2|ling2|ling3,lián|líng|lǐng,to pity,乞哀告怜|乞怜|可怜
4638,思,U+601D,si1|sai1,sī|sāi,to think,一門心思|一门心思|三思而後行
4639,怞,U+601E,chou2|you2,chóu|yóu,to grieve,
4640,怟,U+601F,di4,dì,,
4641,怠,U+6020,dai4|yi2,dài|yí,idle,不怠|不懈怠|倦怠
4642,怡,U+6021,yi2,yí,harmony,健怡可樂|健怡可乐|周梁淑怡
4643,怢,U+6022,tu1|die2|tui4,tū|dié|tuì,,
4644,怣,U+6023,you2,yóu,,
4645,怤,U+6024,fu1,fū,,
4646,急,U+6025,ji2,jí,urgent,不急之務|不急之务|乾著急
4647,怦,U+6026,peng1,pēng,(onom.) the thumping of one's heart,心怦怦跳|怦怦|怦然
4648,性,U+6027,xing4,xìng,nature,一次性|一致性|一致性效應
4649,怨,U+6028,yuan4|yun4,yuàn|yùn,to blame,仇怨|以德報怨|以德报怨
4650,怩,U+6029,ni2,ní,used in 忸怩[niu3 ni2],忸忸怩怩|忸怩|顏厚有忸怩
4651,怪,U+602A,guai4,guài,bewildering,不足為怪|不足为怪|二十年目睹之怪現狀
4652,怫,U+602B,fu2|fei4|bei4,fú|fèi|bèi,anger,怫然
4653,怬,U+602C,xi4,xì,,
4654,怭,U+602D,bi4,bì,frivolous,
4655,怮,U+602E,you1|yao4,yōu|yào,,
4656,怯,U+602F,qie4,qiè,timid,卑怯|大勇若怯|大勇若怯，大智若愚
4657,怰,U+6030,xuan4,xuàn,,
4658,怱,U+6031,cong1,cōng,variant of 匆[cong1],
4659,怲,U+6032,bing3,bǐng,sad,
4660,怳,U+6033,huang3,huǎng,variant of 恍[huang3],
4661,怴,U+6034,xu4|xue4,xù|xuè,,
4662,怵,U+6035,chu4|xu4,chù|xù,fearful,怵惕|怵懼|怵惧
4663,怶,U+6036,bi4|pi1,bì|pī,,
4664,怷,U+6037,shu4,shù,,
4665,怸,U+6038,xi1,xī,obscure variant of 悉[xi1],
4666,怹,U+6039,tan1,tān,he,
4667,怺,U+603A,yong3,yǒng,,
4668,总,U+603B,zong3,zǒng,(bound form) general; overall,一次总付|一总|一言抄百总
4669,怼,U+603C,dui4,duì,(Internet slang) to attack verbally; to publicly criticize; to call out,回怼|怒怼|怨怼
4670,怽,U+603D,mo,mo,,
4671,怾,U+603E,zhi3,zhǐ,,
4672,怿,U+603F,yi4,yì,pleased,
4673,恀,U+6040,shi4,shì,,
4674,恁,U+6041,nen4|ren4|nin2,nèn|rèn|nín,to think,恁般|恁麼|恁么
4675,恂,U+6042,xun2|shun4,xún|shùn,sincere,
4676,恃,U+6043,shi4|zhi4,shì|zhì,(bound form) to rely on,仗恃|可恃|失恃
4677,恄,U+6044,xi4,xì,,
4678,恅,U+6045,lao3,lǎo,,
4679,恆,U+6046,heng2|geng4,héng|gèng,surname Heng,伯利恆|劉恆|守恆
4680,恇,U+6047,kuang1,kuāng,to fear,
4681,恈,U+6048,mou2,móu,,
4682,恉,U+6049,zhi3,zhǐ,purport,
4683,恊,U+604A,xie2,xié,,
4684,恋,U+604B,lian4,liàn,to feel attached to,三角恋爱|依恋|初恋
4685,恌,U+604C,tiao1|yao2,tiāo|yáo,frivolous,
4686,恍,U+604D,huang3|guang1,huǎng|guāng,variant of 恍[huang3],心神恍惚|恍如|恍如隔世
4687,恎,U+604E,die2,dié,,
4688,恏,U+604F,hao4,hào,to desire,
4689,恐,U+6050,kong3,kǒng,afraid,三角恐龍|三角恐龙|反恐
4690,恑,U+6051,gui3|wei2,guǐ|wéi,,
4691,恒,U+6052,heng2,héng,surname Heng,伯利恒|刘恒|守恒
4692,恓,U+6053,xi1|qi1|xu4,xī|qī|xù,troubled,恓惶
4693,恔,U+6054,jiao3|xiao4,jiǎo|xiào,cheerful,
4694,恕,U+6055,shu4,shù,to forgive,乞恕|寬恕|宽恕
4695,恖,U+6056,si1,sī,,
4696,恗,U+6057,hu1|kua1,hū|kuā,,
4697,恘,U+6058,qiu1,qiū,"meaning uncertain, related to 戾[li4], to violate",
4698,恙,U+6059,yang4,yàng,sickness,別來無恙|别来无恙|安全無恙
4699,恚,U+605A,hui4,huì,rage,
4700,恛,U+605B,hui2,huí,disordered,
4701,恜,U+605C,chi4,chì,,
4702,恝,U+605D,jia2|qi4,jiá|qì,indifferent,
4703,恞,U+605E,yi2,yí,happy,
4704,恟,U+605F,xiong1,xiōng,"scared, nervous",
4705,恠,U+6060,guai4,guài,variant of 怪[guai4],
4706,恡,U+6061,lin4,lìn,variant of 吝[lin4],
4707,恢,U+6062,hui1,huī,to restore,天網恢恢|天网恢恢|天網恢恢，疏而不失
4708,恣,U+6063,zi4,zì,to abandon restraint,恣情|恣意|恣意妄為
4709,恤,U+6064,xu4,xù,variant of 恤[xu4],T恤|不恤|不恤人言
4710,恥,U+6065,chi3,chǐ,(bound form) shame; humiliation; disgrace,一雪前恥|不恥下問|不知羞恥
4711,恦,U+6066,shang4,shàng,,
4712,恧,U+6067,nv4,nǜ,ashamed,
4713,恨,U+6068,hen4,hèn,to hate,一失足成千古恨|仇恨|仇恨罪
4714,恩,U+6069,en1,ēn,variant of 恩[en1],伯恩|伯恩斯|伯恩茅斯
4715,恪,U+606A,ke4,kè,surname Ke,恪守|恪慎|恪遵
4716,恫,U+606B,dong4|tong1,dòng|tōng,frighten,恫嚇|恫吓
4717,恬,U+606C,tian2,tián,quiet,恬不知恥|恬不知耻|恬和
4718,恭,U+606D,gong1,gōng,respectful,不恭|不敢恭維|不敢恭维
4719,恮,U+606E,quan1|zhuan1,quān|zhuān,,
4720,息,U+606F,xi1,xī,breath,不息|中國人權民運信息中心|中国人权民运信息中心
4721,恰,U+6070,qia4,qià,exactly,恰亞諾夫|恰亚诺夫|恰似
4722,恱,U+6071,yue4,yuè,,
4723,恲,U+6072,peng1,pēng,,
4724,恳,U+6073,ken3,kěn,earnest,勤勤恳恳|勤恳|恳切
4725,恴,U+6074,de2,dé,,
4726,恵,U+6075,hui4,huì,Japanese variant of 惠[hui4],
4727,恶,U+6076,e4|e3|wu4|wu1,è|ě|wù|wū,used in 惡心|恶心[e3 xin1],不念旧恶|二恶英|交恶
4728,恷,U+6077,xiao,xiao,,
4729,恸,U+6078,tong4,tòng,grief,哀恸|悲恸
4730,恹,U+6079,yan1,yān,used in 懨懨|恹恹[yan1 yan1],恹恹|病恹恹
4731,恺,U+607A,kai3,kǎi,joyful,恺弟|恺彻|恺悌
4732,恻,U+607B,ce4,cè,sorrowful,悲恻|凄恻|恻怛之心
4733,恼,U+607C,nao3,nǎo,to get angry,可恼|恼人|恼怒
4734,恽,U+607D,yun4,yùn,surname Yun,
4735,恾,U+607E,mang2,máng,,
4736,恿,U+607F,yong3|tong1,yǒng|tōng,used in 慫恿|怂恿[song3 yong3],慫恿|怂恿
4737,悀,U+6080,yong3,yǒng,to be angry,
4738,悁,U+6081,yuan1|juan4,yuān|juàn,angry,
4739,悂,U+6082,pi1|bi1|pi3,pī|bī|pǐ,,
4740,悃,U+6083,kun3,kǔn,sincere,
4741,悄,U+6084,qiao1|qiao3|qiao4,qiāo|qiǎo|qiào,used in 悄悄[qiao1 qiao1],悄咪咪|悄悄|悄悄咪咪
4742,悅,U+6085,yue4,yuè,pleased,不悅|兩情相悅|凱悅
4743,悆,U+6086,yu4|shu1,yù|shū,happy,
4744,悇,U+6087,tu2|yu2,tú|yú,,
4745,悈,U+6088,jie4|ke4,jiè|kè,,
4746,悉,U+6089,xi1,xī,in all cases,備悉|备悉|得悉
4747,悊,U+608A,zhe2,zhé,to revere,
4748,悋,U+608B,lin4,lìn,,
4749,悌,U+608C,ti4,tì,to do one's duty as a younger brother,友悌|孝悌|孝悌忠信
4750,悍,U+608D,han4,hàn,heroic,兇悍|凶悍|刁悍
4751,悎,U+608E,hao4|jiao4,hào|jiào,,
4752,悏,U+608F,qie4,qiè,,
4753,悐,U+6090,ti4,tì,"respect, regard",
4754,悑,U+6091,bu4,bù,old variant of 怖[bu4],
4755,悒,U+6092,yi4,yì,anxiety,憂悒|忧悒
4756,悓,U+6093,qian4,qiàn,,
4757,悔,U+6094,hui3,huǐ,(bound form) to regret; to repent,反悔|吃後悔藥|吃后悔药
4758,悕,U+6095,xi1,xī,(literary) to wish,
4759,悖,U+6096,bei4|bei3,bèi|běi,to go against,並行不悖|并行不悖|悖亂
4760,悗,U+6097,man2|men4,mán|mèn,,
4761,悘,U+6098,yi1|yi4,yī|yì,,
4762,悙,U+6099,heng1|heng4,hēng|hèng,,
4763,悚,U+609A,song3,sǒng,frightened,悚然|毛骨悚然|科技驚悚
4764,悛,U+609B,quan1|xun2,quān|xún,to reform,怙惡不悛|怙恶不悛
4765,悜,U+609C,cheng3,chěng,obscure,
4766,悝,U+609D,kui1|li3,kuī|lǐ,to laugh at,李悝
4767,悞,U+609E,wu4,wù,to impede,
4768,悟,U+609F,wu4,wù,to comprehend,參悟|参悟|執迷不悟
4769,悠,U+60A0,you1,yōu,long or drawn out,忽忽悠悠|忽悠|悠久
4770,悡,U+60A1,li2,lí,,
4771,悢,U+60A2,liang4|lang3,liàng|lǎng,(literary) sad; melancholy,
4772,患,U+60A3,huan4,huàn,to suffer (from illness),不患寡而患不均|人滿為患|人满为患
4773,悤,U+60A4,cong1,cōng,variant of 匆[cong1],
4774,悥,U+60A5,yi4,yì,,
4775,悦,U+60A6,yue4,yuè,pleased,不悦|两情相悦|凯悦
4776,悧,U+60A7,li4,lì,used in 憐悧|怜悧[lian2 li4],憐悧|怜悧
4777,您,U+60A8,nin2,nín,"you (courteous, as opposed to informal 你[ni3])",您好
4778,悩,U+60A9,nao3,nǎo,Japanese variant of 惱|恼,
4779,悪,U+60AA,e4,è,Japanese variant of 惡|恶[e4],
4780,悫,U+60AB,que4,què,honest,
